Reporting Area,MMWR Year,MMWR Week,"Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2020†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2020†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†, flag","Chancroid, Current week","Chancroid, Current week, flag","Chancroid, Previous 52 weeks Max†","Chancroid, Previous 52 weeks Max†, flag","Chancroid, Cum 2020†","Chancroid, Cum 2020†, flag","Chancroid, Cum 2019†","Chancroid, Cum 2019†, flag","Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Max†","Chlamydia trachomatis infection, Previous 52 weeks Max†, flag","Chlamydia trachomatis infection, Cum 2020†","Chlamydia trachomatis infection, Cum 2020†, flag","Chlamydia trachomatis infection, Cum 2019†","Chlamydia trachomatis infection, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
TENNESSEE,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,952,,122,,1353,,TENNESSEE,,20200242,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,359,,3248,,962,,5738,,,WEST SOUTH CENTRAL,20200243,
LOUISIANA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,274,,876,,744,,1349,,LOUISIANA,,20200245,POINT (-91.840238 30.921314)
OKLAHOMA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,85,,440,,218,,668,,OKLAHOMA,,20200246,POINT (-97.508297 35.583449)
TEXAS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,1632,,,-,3131,,TEXAS,,20200247,POINT (-99.317341 31.447238)
COLORADO,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,85,,1074,,470,,897,,COLORADO,,20200250,POINT (-105.547832 38.998552)
MONTANA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,116,,,-,155,,MONTANA,,20200252,POINT (-109.645127 47.033521)
NEVADA,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,380,,,-,530,,NEVADA,,20200253,POINT (-114.916992 39.283294)
NEW MEXICO,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,57,,332,,148,,514,,NEW MEXICO,,20200254,POINT (-106.108388 34.421369)
UTAH,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,100,,273,,254,,405,,UTAH,,20200255,POINT (-111.678222 39.323779)
WYOMING,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,30,,58,,48,,65,,WYOMING,,20200256,POINT (-107.55145 42.999627)
PACIFIC,2020,2,,-,1,,,-,,-,,-,1,,,-,,-,1126,,6693,,3831,,11019,,,PACIFIC,20200257,
ALASKA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,151,,,-,229,,ALASKA,,20200258,POINT (-151.631889 63.631126)
CALIFORNIA,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,456,,5243,,2372,,8648,,CALIFORNIA,,20200259,POINT (-119.662127 37.211164)
HAWAII,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,209,,,-,234,,HAWAII,,20200260,POINT (-157.854309 21.361013)
OREGON,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,301,,485,,565,,497,,OREGON,,20200261,POINT (-120.605279 43.940449)
WASHINGTON,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,369,,1056,,894,,1411,,WASHINGTON,,20200262,POINT (-120.592492 47.411715)
US TERRITORIES,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,304,,,-,148,,,US TERRITORIES,20200263,
AMERICAN SAMOA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200264,
NORTHERN MARIANA ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200265,POINT (145.725693 15.1834)
GUAM,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200266,POINT (144.653198 13.3532)
PUERTO RICO,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,304,,,-,148,,PUERTO RICO,,20200267,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200268,POINT (-64.840836 18.060868)
NON-US RESIDENTS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,,NON-US RESIDENTS,20200269,
TOTAL,2020,2,1,,12,,2,,16,,,-,2,,,-,,-,10556,,36907,,22679,,59624,,,TOTAL,20200270,
CONNECTICUT,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,343,,,-,1067,,CONNECTICUT,,20200403,POINT (-72.738288 41.575155)
MAINE,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,125,,149,,282,,MAINE,,20200404,POINT (-69.06137 45.117911)
VERMONT,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,16,,61,,63,,57,,VERMONT,,20200408,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,2994,,4821,,14043,,16480,,,MIDDLE ATLANTIC,20200409,
NEW JERSEY,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,411,,849,,2365,,3066,,NEW JERSEY,,20200410,POINT (-74.655514 40.110253)
NEW YORK CITY,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,790,,1677,,5120,,5868,,,NEW YORK CITY,20200412,
PENNSYLVANIA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,968,,1380,,4312,,4822,,PENNSYLVANIA,,20200413,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,4,,-,9,,,-,25,,,-,0,,,-,,-,1341,,5612,,9412,,19663,,,EAST NORTH CENTRAL,20200414,
MICHIGAN,2020,4,,-,7,,,-,21,,,-,0,,,-,,-,125,,1140,,1190,,3853,,MICHIGAN,,20200417,POINT (-85.730977 44.874798)
OHIO,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,686,,1437,,4302,,5204,,OHIO,,20200418,POINT (-82.70936 40.415534)
WISCONSIN,2020,4,,-,3,,,-,4,,,-,0,,,-,,-,300,,685,,1640,,2218,,WISCONSIN,,20200419,POINT (-89.732969 44.639954)
US TERRITORIES,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,304,,,-,41,,,US TERRITORIES,20200163,
US RESIDENTS,2020,1,1,,12,,1,,11,,,-,2,,,-,,-,5525,,36490,,5525,,23526,,,US RESIDENTS,20200101,
NORTH DAKOTA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,98,,,-,70,,NORTH DAKOTA,,20200126,POINT (-100.46931 47.446305)
NEVADA,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,376,,,-,239,,NEVADA,,20200153,POINT (-114.916992 39.283294)
SOUTH DAKOTA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,109,,,-,69,,SOUTH DAKOTA,,20200127,POINT (-100.230491 44.43614)
KENTUCKY,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,4788,,,-,24,,KENTUCKY,,20200140,POINT (-85.290484 37.526683)
UTAH,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,273,,,-,176,,UTAH,,20200155,POINT (-111.678222 39.323779)
HAWAII,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,209,,,-,87,,HAWAII,,20200160,POINT (-157.854309 21.361013)
NEW JERSEY,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,100,,940,,100,,620,,NEW JERSEY,,20200110,POINT (-74.655514 40.110253)
GEORGIA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,1700,,,-,1076,,GEORGIA,,20200132,POINT (-83.426574 32.638481)
DISTRICT OF COLUMBIA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,25,,226,,25,,126,,DISTRICT OF COLUMBIA,,20200130,POINT (-77.016275 38.904785)
ALABAMA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,143,,810,,143,,469,,ALABAMA,,20200139,POINT (-86.844516 32.756889)
ARIZONA,2020,1,1,,5,,1,,4,,,-,1,,,-,,-,262,,954,,262,,625,,ARIZONA,,20200149,POINT (-111.664616 34.293239)
WYOMING,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,8,,58,,8,,30,,WYOMING,,20200156,POINT (-107.55145000000002 42.999627)
CONNECTICUT,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,343,,,-,255,,CONNECTICUT,,20200103,POINT (-72.738288 41.575155)
WEST VIRGINIA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,354,,,-,1,,WEST VIRGINIA,,20200137,POINT (-80.613729 38.642579000000005)
NEW HAMPSHIRE,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,124,,,-,60,,NEW HAMPSHIRE,,20200106,POINT (-71.57139000000001 43.680429)
ILLINOIS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,1503,,,-,799,,ILLINOIS,,20200115,POINT (-89.148632 40.124144)
CALIFORNIA,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,163,,5243,,163,,3474,,CALIFORNIA,,20200159,POINT (-119.662127 37.211164)
TENNESSEE,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,952,,,-,541,,TENNESSEE,,20200142,POINT (-86.343226 35.842998)
SOUTH ATLANTIC,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,1437,,8333,,1437,,4905,,,SOUTH ATLANTIC,20200128,
KANSAS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,329,,,-,251,,KANSAS,,20200122,POINT (-98.38018 38.484729)
NORTHERN MARIANA ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200165,POINT (145.725693 15.1834)
KANSAS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,321,,,-,1178,,KANSAS,,20200422,POINT (-98.38018 38.484729)
MINNESOTA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,542,,,-,1988,,MINNESOTA,,20200423,POINT (-94.198308 46.349153)
MISSOURI,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,150,,791,,1371,,2568,,MISSOURI,,20200424,POINT (-92.477244 38.3675)
SOUTH DAKOTA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,108,,136,,365,,SOUTH DAKOTA,,20200427,POINT (-100.230491 44.43614)
US RESIDENTS,2020,3,,-,15,,6,,26,,,-,2,,,-,,-,11485,,36791,,46785,,96308,,,US RESIDENTS,20200301,
MASSACHUSETTS,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,723,,,-,560,,MASSACHUSETTS,,20200105,POINT (-71.481104 42.151077)
WEST SOUTH CENTRAL,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,260,,3245,,260,,2490,,,WEST SOUTH CENTRAL,20200143,
NEW YORK CITY,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,492,,1677,,492,,1137,,,NEW YORK CITY,20200112,
ALASKA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,151,,,-,91,,ALASKA,,20200158,POINT (-151.631889 63.631125999999995)
VERMONT,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,6,,48,,6,,3,,VERMONT,,20200108,POINT (-72.662695 44.075252)
NEW YORK,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,77,,1082,,77,,167,,NEW YORK,,20200111,POINT (-75.59655 42.921241)
OKLAHOMA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,34,,440,,34,,257,,OKLAHOMA,,20200146,POINT (-97.508297 35.583449)
OHIO,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,415,,1502,,415,,996,,OHIO,,20200118,POINT (-82.70936 40.41553400000001)
VIRGINIA,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,770,,1104,,770,,647,,VIRGINIA,,20200136,POINT (-78.666382 37.510861)
WEST NORTH CENTRAL,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,268,,2260,,268,,1617,,,WEST NORTH CENTRAL,20200120,
RHODE ISLAND,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,529,,,-,,-,RHODE ISLAND,,20200107,POINT (-71.534637 41.572574)
NORTH CAROLINA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,1512,,,-,1098,,NORTH CAROLINA,,20200134,POINT (-79.130883 35.52603)
MAINE,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,44,,125,,44,,32,,MAINE,,20200104,POINT (-69.06137 45.117911)
MIDDLE ATLANTIC,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,1301,,4820,,1301,,2862,,,MIDDLE ATLANTIC,20200109,
EAST NORTH CENTRAL,2020,1,,-,7,,,-,7,,,-,0,,,-,,-,657,,5350,,657,,3173,,,EAST NORTH CENTRAL,20200114,
TEXAS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,1629,,,-,1499,,TEXAS,,20200147,POINT (-99.317341 31.447238)
ARKANSAS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,405,,,-,222,,ARKANSAS,,20200144,POINT (-92.439162 34.899825)
IDAHO,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,10,,170,,10,,97,,IDAHO,,20200151,POINT (-114.659366 44.389073)
TOTAL,2020,1,1,,12,,1,,11,,,-,2,,,-,,-,5525,,36640,,5525,,23567,,,TOTAL,20200170,
PENNSYLVANIA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,632,,1379,,632,,938,,PENNSYLVANIA,,20200113,POINT (-77.838886 40.896694)
MOUNTAIN,2020,1,1,,6,,1,,4,,,-,1,,,-,,-,456,,2950,,456,,1805,,,MOUNTAIN,20200148,
NEBRASKA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,239,,,-,98,,NEBRASKA,,20200125,POINT (-99.810595 41.527099)
MINNESOTA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,561,,,-,400,,MINNESOTA,,20200123,POINT (-94.198308 46.349153)
WISCONSIN,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,197,,687,,197,,419,,WISCONSIN,,20200119,POINT (-89.732969 44.639954)
MONTANA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,116,,,-,62,,MONTANA,,20200152,POINT (-109.645127 47.033521)
OREGON,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,265,,485,,265,,112,,OREGON,,20200161,POINT (-120.60527899999998 43.940449)
U.S. VIRGIN ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200168,POINT (-64.840836 18.060868)
INDIANA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,857,,,-,269,,INDIANA,,20200116,POINT (-86.2818 39.91999100000001)
NEW ENGLAND,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,50,,1410,,50,,910,,,NEW ENGLAND,20200102,
SOUTH CAROLINA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,979,,,-,548,,SOUTH CAROLINA,,20200135,POINT (-80.864614 33.878572)
IOWA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,29,,390,,29,,255,,IOWA,,20200121,POINT (-93.500061 42.074659)
PUERTO RICO,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,304,,,-,41,,PUERTO RICO,,20200167,POINT (-66.414655 18.215692)
COLORADO,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,151,,1075,,151,,388,,COLORADO,,20200150,POINT (-105.547832 38.998552)
NEW MEXICO,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,25,,331,,25,,188,,NEW MEXICO,,20200154,POINT (-106.108388 34.421369)
MISSISSIPPI,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,601,,,-,345,,MISSISSIPPI,,20200141,POINT (-89.65344 32.713378)
GUAM,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200166,POINT (144.653198 13.353200000000001)
PACIFIC,2020,1,,-,1,,,-,,-,,-,1,,,-,,-,953,,6693,,953,,4385,,,PACIFIC,20200157,
MISSOURI,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,239,,791,,239,,474,,MISSOURI,,20200124,POINT (-92.477244 38.3675)
LOUISIANA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,226,,876,,226,,512,,LOUISIANA,,20200145,POINT (-91.840238 30.921313999999995)
MARYLAND,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,39,,822,,39,,602,,MARYLAND,,20200133,POINT (-76.68728200000001 38.946466)
MICHIGAN,2020,1,,-,7,,,-,7,,,-,0,,,-,,-,45,,1140,,45,,690,,MICHIGAN,,20200117,POINT (-85.730977 44.874798)
DELAWARE,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,199,,,-,176,,DELAWARE,,20200129,POINT (-75.452394 38.994926)
EAST SOUTH CENTRAL,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,143,,5951,,143,,1379,,,EAST SOUTH CENTRAL,20200138,
AMERICAN SAMOA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200164,
WASHINGTON,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,525,,1056,,525,,621,,WASHINGTON,,20200162,POINT (-120.592492 47.411715)
NON-US RESIDENTS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,,NON-US RESIDENTS,20200169,
FLORIDA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,603,,2495,,603,,631,,FLORIDA,,20200131,POINT (-82.42097800000002 28.260731)
SOUTH ATLANTIC,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,2845,,8419,,14840,,28734,,,SOUTH ATLANTIC,20200428,
DELAWARE,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,199,,,-,525,,DELAWARE,,20200429,POINT (-75.452394 38.994926)
FLORIDA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,1378,,2495,,5989,,6617,,FLORIDA,,20200431,POINT (-82.420978 28.260731)
GEORGIA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,367,,1736,,2955,,6048,,GEORGIA,,20200432,POINT (-83.426574 32.638481)
MARYLAND,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,47,,807,,1499,,2833,,MARYLAND,,20200433,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,1495,,,-,5438,,NORTH CAROLINA,,20200434,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,979,,,-,2650,,SOUTH CAROLINA,,20200435,POINT (-80.864614 33.878572)
VIRGINIA,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,1000,,1017,,3377,,3665,,VIRGINIA,,20200436,POINT (-78.666382 37.510861)
WEST VIRGINIA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,42,,354,,414,,221,,WEST VIRGINIA,,20200437,POINT (-80.613729 38.642579)
ALABAMA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,505,,822,,1682,,2339,,ALABAMA,,20200439,POINT (-86.844516 32.756889)
KENTUCKY,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,605,,,-,756,,KENTUCKY,,20200440,POINT (-85.290484 37.526683)
MISSISSIPPI,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,183,,599,,1154,,1934,,MISSISSIPPI,,20200441,POINT (-89.65344 32.713378)
TENNESSEE,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,236,,952,,1726,,3035,,TENNESSEE,,20200442,POINT (-86.343226 35.842998)
ARKANSAS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,405,,55,,1323,,ARKANSAS,,20200444,POINT (-92.439162 34.899825)
LOUISIANA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,184,,876,,2074,,3076,,LOUISIANA,,20200445,POINT (-91.840238 30.921314)
OKLAHOMA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,43,,440,,673,,1417,,OKLAHOMA,,20200446,POINT (-97.508297 35.583449)
ARIZONA,2020,4,,-,5,,3,,13,,,-,1,,,-,,-,404,,955,,2491,,3393,,ARIZONA,,20200449,POINT (-111.664616 34.293239)
COLORADO,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,226,,1076,,1420,,2079,,COLORADO,,20200450,POINT (-105.547832 38.998552)
IDAHO,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,10,,170,,77,,549,,IDAHO,,20200451,POINT (-114.659366 44.389073)
MONTANA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,34,,116,,278,,318,,MONTANA,,20200452,POINT (-109.645127 47.033521)
NEW MEXICO,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,38,,332,,565,,1085,,NEW MEXICO,,20200454,POINT (-106.108388 34.421369)
UTAH,2020,4,,-,2,,1,,2,,,-,0,,,-,,-,138,,273,,778,,844,,UTAH,,20200455,POINT (-111.678222 39.323779)
WYOMING,2020,4,,-,1,,1,,,-,,-,0,,,-,,-,2,,58,,80,,168,,WYOMING,,20200456,POINT (-107.55145 42.999627)
CALIFORNIA,2020,4,,-,3,,5,,,-,,-,1,,,-,,-,325,,5248,,11991,,18477,,CALIFORNIA,,20200459,POINT (-119.662127 37.211164)
