Reporting Area,MMWR Year,MMWR Week,"Severe acute respiratory syndrome-associated coronavirus desease, Current week","Severe acute respiratory syndrome-associated coronavirus desease, Current week, flag","Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†","Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†, flag","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2020†","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2020†, flag","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2019†","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2019†, flag","Shiga toxin-producing Escherichia coli(STEC), Current week","Shiga toxin-producing Escherichia coli(STEC), Current week, flag","Shiga toxin-producing Escherichia coli(STEC), Previous 52 weeks Max†","Shiga toxin-producing Escherichia coli(STEC), Previous 52 weeks Max†, flag","Shiga toxin-producing Escherichia coli(STEC), Cum 2020†","Shiga toxin-producing Escherichia coli(STEC), Cum 2020†, flag","Shiga toxin-producing Escherichia coli(STEC), Cum 2019†","Shiga toxin-producing Escherichia coli(STEC), Cum 2019†, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Max†","Shigellosis, Previous 52 weeks Max†, flag","Shigellosis, Cum 2020†","Shigellosis, Cum 2020†, flag","Shigellosis, Cum 2019†","Shigellosis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
TOTAL,2020,1,,-,0,,,-,,-,25,,911,,25,,135,,55,,770,,55,,197,,,TOTAL,20200170,
US RESIDENTS,2020,2,,-,0,,,-,,-,31,,540,,82,,320,,75,,458,,154,,501,,,US RESIDENTS,20200201,
US TERRITORIES,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200163,
WEST SOUTH CENTRAL,2020,1,,-,0,,,-,,-,2,,202,,2,,2,,5,,182,,5,,4,,,WEST SOUTH CENTRAL,20200143,
ILLINOIS,2020,1,,-,0,,,-,,-,,-,23,,,-,4,,,-,16,,,-,11,,ILLINOIS,,20200115,POINT (-89.148632 40.124144)
SOUTH DAKOTA,2020,1,,-,0,,,-,,-,,-,20,,,-,,-,,-,2,,,-,,-,SOUTH DAKOTA,,20200127,POINT (-100.230491 44.43614)
KENTUCKY,2020,1,,-,0,,,-,,-,,-,43,,,-,,-,,-,8,,,-,,-,KENTUCKY,,20200140,POINT (-85.290484 37.526683)
NEW JERSEY,2020,1,,-,0,,,-,,-,,-,4,,,-,1,,3,,42,,3,,32,,NEW JERSEY,,20200110,POINT (-74.655514 40.110253)
SOUTH ATLANTIC,2020,1,,-,0,,,-,,-,,-,83,,,-,19,,1,,77,,1,,31,,,SOUTH ATLANTIC,20200128,
NEW MEXICO,2020,1,,-,0,,,-,,-,,-,7,,,-,3,,,-,12,,,-,,-,NEW MEXICO,,20200154,POINT (-106.108388 34.421369)
GEORGIA,2020,1,,-,0,,,-,,-,,-,17,,,-,3,,,-,14,,,-,1,,GEORGIA,,20200132,POINT (-83.426574 32.638481)
DISTRICT OF COLUMBIA,2020,1,,-,0,,,-,,-,,-,1,,,-,1,,,-,4,,,-,2,,DISTRICT OF COLUMBIA,,20200130,POINT (-77.016275 38.904785)
ALABAMA,2020,1,,-,0,,,-,,-,,-,8,,,-,1,,,-,22,,,-,5,,ALABAMA,,20200139,POINT (-86.844516 32.756889)
ARIZONA,2020,1,,-,0,,,-,,-,3,,13,,3,,1,,5,,17,,5,,3,,ARIZONA,,20200149,POINT (-111.664616 34.293239)
WYOMING,2020,1,,-,0,,,-,,-,,-,6,,,-,,-,,-,1,,,-,,-,WYOMING,,20200156,POINT (-107.55145000000002 42.999627)
MARYLAND,2020,1,,-,0,,,-,,-,,-,9,,,-,2,,1,,8,,1,,5,,MARYLAND,,20200133,POINT (-76.68728200000001 38.946466)
WEST VIRGINIA,2020,1,,-,0,,,-,,-,,-,4,,,-,1,,,-,2,,,-,,-,WEST VIRGINIA,,20200137,POINT (-80.613729 38.642579000000005)
US RESIDENTS,2020,1,,-,0,,,-,,-,25,,911,,25,,135,,55,,770,,55,,197,,,US RESIDENTS,20200101,
NEBRASKA,2020,1,,-,0,,,-,,-,1,,12,,1,,3,,1,,6,,1,,1,,NEBRASKA,,20200125,POINT (-99.810595 41.527099)
CALIFORNIA,2020,1,,-,0,,,-,,-,,-,90,,,-,38,,2,,96,,2,,37,,CALIFORNIA,,20200159,POINT (-119.662127 37.211164)
CONNECTICUT,2020,1,,-,0,,,-,,-,,-,9,,,-,1,,,-,7,,,-,2,,CONNECTICUT,,20200103,POINT (-72.738288 41.575155)
PENNSYLVANIA,2020,1,,-,0,,,-,,-,3,,25,,3,,6,,4,,11,,4,,6,,PENNSYLVANIA,,20200113,POINT (-77.838886 40.896694)
KANSAS,2020,1,,-,0,,,-,,-,,-,14,,,-,,-,,-,4,,,-,1,,KANSAS,,20200122,POINT (-98.38018 38.484729)
NEW YORK CITY,2020,1,,-,0,,,-,,-,,-,26,,,-,10,,21,,55,,21,,22,,,NEW YORK CITY,20200112,
OHIO,2020,1,,-,0,,,-,,-,7,,29,,7,,5,,8,,21,,8,,10,,OHIO,,20200118,POINT (-82.70936 40.41553400000001)
MASSACHUSETTS,2020,1,,-,0,,,-,,-,,-,7,,,-,,-,,-,12,,,-,1,,MASSACHUSETTS,,20200105,POINT (-71.481104 42.151077)
NEVADA,2020,1,,-,0,,,-,,-,,-,4,,,-,,-,,-,4,,,-,,-,NEVADA,,20200153,POINT (-114.916992 39.283294)
ALASKA,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,ALASKA,,20200158,POINT (-151.631889 63.631125999999995)
VERMONT,2020,1,,-,0,,,-,,-,,-,5,,,-,,-,,-,1,,,-,,-,VERMONT,,20200108,POINT (-72.662695 44.075252)
NEW HAMPSHIRE,2020,1,,-,0,,,-,,-,,-,3,,,-,,-,,-,2,,,-,,-,NEW HAMPSHIRE,,20200106,POINT (-71.57139000000001 43.680429)
NORTHERN MARIANA ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200165,POINT (145.725693 15.1834)
MINNESOTA,2020,1,,-,0,,,-,,-,,-,8,,,-,,-,,-,3,,,-,,-,MINNESOTA,,20200123,POINT (-94.198308 46.349153)
VIRGINIA,2020,1,,-,0,,,-,,-,,-,17,,,-,,-,,-,13,,,-,,-,VIRGINIA,,20200136,POINT (-78.666382 37.510861)
WEST NORTH CENTRAL,2020,1,,-,0,,,-,,-,3,,81,,3,,15,,1,,15,,1,,5,,,WEST NORTH CENTRAL,20200120,
RHODE ISLAND,2020,1,,-,0,,,-,,-,,-,4,,,-,,-,,-,5,,,-,1,,RHODE ISLAND,,20200107,POINT (-71.534637 41.572574)
NORTH CAROLINA,2020,1,,-,0,,,-,,-,,-,17,,,-,7,,,-,16,,,-,7,,NORTH CAROLINA,,20200134,POINT (-79.130883 35.52603)
MAINE,2020,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,2,,,-,,-,MAINE,,20200104,POINT (-69.06137 45.117911)
MIDDLE ATLANTIC,2020,1,,-,0,,,-,,-,3,,63,,3,,17,,28,,78,,28,,61,,,MIDDLE ATLANTIC,20200109,
TENNESSEE,2020,1,,-,0,,,-,,-,1,,25,,1,,,-,,-,10,,,-,3,,TENNESSEE,,20200142,POINT (-86.343226 35.842998)
TEXAS,2020,1,,-,0,,,-,,-,,-,89,,,-,1,,3,,151,,3,,4,,TEXAS,,20200147,POINT (-99.317341 31.447238)
ARKANSAS,2020,1,,-,0,,,-,,-,1,,12,,1,,1,,,-,14,,,-,,-,ARKANSAS,,20200144,POINT (-92.439162 34.899825)
IDAHO,2020,1,,-,0,,,-,,-,,-,11,,,-,3,,,-,7,,,-,,-,IDAHO,,20200151,POINT (-114.659366 44.389073)
EAST SOUTH CENTRAL,2020,1,,-,0,,,-,,-,1,,69,,1,,1,,,-,31,,,-,9,,,EAST SOUTH CENTRAL,20200138,
UTAH,2020,1,,-,0,,,-,,-,,-,15,,,-,2,,,-,11,,,-,2,,UTAH,,20200155,POINT (-111.678222 39.323779)
MOUNTAIN,2020,1,,-,0,,,-,,-,4,,52,,4,,16,,5,,38,,5,,6,,,MOUNTAIN,20200148,
NEW YORK,2020,1,,-,0,,,-,,-,,-,21,,,-,,-,,-,19,,,-,1,,NEW YORK,,20200111,POINT (-75.59655 42.921241)
LOUISIANA,2020,1,,-,0,,,-,,-,,-,6,,,-,,-,,-,32,,,-,,-,LOUISIANA,,20200145,POINT (-91.840238 30.921313999999995)
WISCONSIN,2020,1,,-,0,,,-,,-,5,,28,,5,,6,,,-,9,,,-,2,,WISCONSIN,,20200119,POINT (-89.732969 44.639954)
MONTANA,2020,1,,-,0,,,-,,-,,-,4,,,-,1,,,-,2,,,-,,-,MONTANA,,20200152,POINT (-109.645127 47.033521)
OREGON,2020,1,,-,0,,,-,,-,,-,16,,,-,3,,,-,8,,,-,2,,OREGON,,20200161,POINT (-120.60527899999998 43.940449)
U.S. VIRGIN ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200168,POINT (-64.840836 18.060868)
INDIANA,2020,1,,-,0,,,-,,-,,-,3,,,-,,-,,-,3,,,-,,-,INDIANA,,20200116,POINT (-86.2818 39.91999100000001)
NEW ENGLAND,2020,1,,-,0,,,-,,-,,-,16,,,-,1,,,-,19,,,-,4,,,NEW ENGLAND,20200102,
OKLAHOMA,2020,1,,-,0,,,-,,-,1,,109,,1,,,-,2,,16,,2,,,-,OKLAHOMA,,20200146,POINT (-97.508297 35.583449)
IOWA,2020,1,,-,0,,,-,,-,,-,35,,,-,6,,,-,6,,,-,1,,IOWA,,20200121,POINT (-93.500061 42.074659)
PUERTO RICO,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200167,POINT (-66.414655 18.215692)
COLORADO,2020,1,,-,0,,,-,,-,1,,20,,1,,6,,,-,13,,,-,1,,COLORADO,,20200150,POINT (-105.547832 38.998552)
EAST NORTH CENTRAL,2020,1,,-,0,,,-,,-,12,,74,,12,,19,,8,,36,,8,,28,,,EAST NORTH CENTRAL,20200114,
MISSISSIPPI,2020,1,,-,0,,,-,,-,,-,5,,,-,,-,,-,10,,,-,1,,MISSISSIPPI,,20200141,POINT (-89.65344 32.713378)
GUAM,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200166,POINT (144.653198 13.353200000000001)
NORTH DAKOTA,2020,1,,-,0,,,-,,-,,-,9,,,-,,-,,-,2,,,-,,-,NORTH DAKOTA,,20200126,POINT (-100.46931 47.446305)
MISSOURI,2020,1,,-,0,,,-,,-,2,,20,,2,,6,,,-,7,,,-,2,,MISSOURI,,20200124,POINT (-92.477244 38.3675)
HAWAII,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,5,,,-,1,,HAWAII,,20200160,POINT (-157.854309 21.361013)
SOUTH CAROLINA,2020,1,,-,0,,,-,,-,,-,7,,,-,2,,,-,15,,,-,1,,SOUTH CAROLINA,,20200135,POINT (-80.864614 33.878572)
MICHIGAN,2020,1,,-,0,,,-,,-,,-,15,,,-,4,,,-,12,,,-,5,,MICHIGAN,,20200117,POINT (-85.730977 44.874798)
DELAWARE,2020,1,,-,0,,,-,,-,,-,4,,,-,,-,,-,2,,,-,,-,DELAWARE,,20200129,POINT (-75.452394 38.994926)
PACIFIC,2020,1,,-,0,,,-,,-,,-,576,,,-,45,,7,,483,,7,,49,,,PACIFIC,20200157,
AMERICAN SAMOA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200164,
WASHINGTON,2020,1,,-,0,,,-,,-,,-,540,,,-,4,,5,,419,,5,,9,,WASHINGTON,,20200162,POINT (-120.592492 47.411715)
NON-US RESIDENTS,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20200169,
FLORIDA,2020,1,,-,0,,,-,,-,,-,33,,,-,3,,,-,48,,,-,15,,FLORIDA,,20200131,POINT (-82.42097800000002 28.260731)
TOTAL,2020,3,,-,0,,,-,,-,28,,509,,156,,453,,76,,426,,265,,711,,,TOTAL,20200370,
U.S. VIRGIN ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200368,POINT (-64.840836 18.060868)
NON-US RESIDENTS,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20200369,
US TERRITORIES,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200363,
TOTAL,2020,16,,-,0,,,-,,-,19,,575,,1682,,3512,,17,,574,,3165,,4410,,,TOTAL,20201670,
PUERTO RICO,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201667,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201668,POINT (-64.840836 18.060868)
NON-US RESIDENTS,2020,16,,-,0,,,-,,-,,-,1,,,-,1,,,-,1,,1,,1,,,NON-US RESIDENTS,20201669,
WEST SOUTH CENTRAL,2020,17,,-,0,,,-,,-,4,,94,,153,,321,,3,,360,,897,,725,,,WEST SOUTH CENTRAL,20201743,
US RESIDENTS,2020,14,1,,0,,1,,,-,20,,575,,1524,,2936,,33,,573,,2909,,3859,,,US RESIDENTS,20201401,
EAST SOUTH CENTRAL,2020,17,,-,0,,,-,,-,2,,31,,90,,324,,,-,44,,296,,201,,,EAST SOUTH CENTRAL,20201738,
TEXAS,2020,17,,-,0,,,-,,-,3,,87,,101,,258,,,-,343,,694,,599,,TEXAS,,20201747,POINT (-99.317341 31.447238)
DISTRICT OF COLUMBIA,2020,17,,-,0,,,-,,-,,-,2,,1,,6,,,-,4,,4,,28,,DISTRICT OF COLUMBIA,,20201730,POINT (-77.016275 38.904785)
US RESIDENTS,2020,4,,-,1,,,-,,-,34,,509,,244,,579,,87,,440,,452,,993,,,US RESIDENTS,20200401,
NEW ENGLAND,2020,2,,-,0,,,-,,-,,-,16,,,-,5,,5,,19,,8,,13,,,NEW ENGLAND,20200202,
CONNECTICUT,2020,2,,-,0,,,-,,-,,-,9,,,-,4,,,-,7,,,-,3,,CONNECTICUT,,20200203,POINT (-72.738288 41.575155)
NEW HAMPSHIRE,2020,2,,-,0,,,-,,-,,-,3,,,-,,-,,-,2,,,-,,-,NEW HAMPSHIRE,,20200206,POINT (-71.57139 43.680429)
NEW HAMPSHIRE,2020,4,,-,0,,,-,,-,,-,3,,,-,1,,,-,2,,,-,1,,NEW HAMPSHIRE,,20200406,POINT (-71.57139 43.680429)
NEW YORK,2020,4,,-,0,,,-,,-,3,,34,,8,,10,,5,,15,,14,,13,,NEW YORK,,20200411,POINT (-75.59655 42.921241)
US RESIDENTS,2020,3,,-,0,,,-,,-,28,,509,,156,,453,,76,,426,,265,,711,,,US RESIDENTS,20200301,
NEW HAMPSHIRE,2020,3,,-,0,,,-,,-,,-,3,,,-,,-,,-,2,,,-,1,,NEW HAMPSHIRE,,20200306,POINT (-71.57139 43.680429)
NEW YORK,2020,3,,-,0,,,-,,-,3,,33,,5,,8,,7,,15,,9,,10,,NEW YORK,,20200311,POINT (-75.59655 42.921241)
PACIFIC,2020,3,,-,0,,,-,,-,4,,118,,39,,136,,6,,105,,68,,217,,,PACIFIC,20200357,
WEST SOUTH CENTRAL,2020,3,,-,0,,,-,,-,1,,90,,4,,24,,40,,249,,67,,57,,,WEST SOUTH CENTRAL,20200343,
NEBRASKA,2020,3,,-,0,,,-,,-,,-,12,,5,,6,,,-,6,,2,,7,,NEBRASKA,,20200325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,3,,-,0,,,-,,-,,-,69,,9,,19,,1,,38,,15,,42,,,EAST SOUTH CENTRAL,20200338,
NORTH DAKOTA,2020,3,,-,0,,,-,,-,,-,9,,,-,,-,,-,2,,,-,,-,NORTH DAKOTA,,20200326,POINT (-100.46931 47.446305)
NEVADA,2020,3,,-,0,,,-,,-,,-,4,,,-,,-,,-,4,,1,,4,,NEVADA,,20200353,POINT (-114.916992 39.283294)
ILLINOIS,2020,3,,-,0,,,-,,-,,-,23,,4,,16,,,-,16,,,-,27,,ILLINOIS,,20200315,POINT (-89.148632 40.124144)
IOWA,2020,3,,-,0,,,-,,-,,-,35,,5,,13,,2,,6,,4,,5,,IOWA,,20200321,POINT (-93.500061 42.074659)
TEXAS,2020,3,,-,0,,,-,,-,1,,78,,1,,22,,23,,246,,41,,33,,TEXAS,,20200347,POINT (-99.317341 31.447238)
ALASKA,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,ALASKA,,20200358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,3,,-,0,,,-,,-,,-,1,,,-,1,,,-,4,,,-,3,,DISTRICT OF COLUMBIA,,20200330,POINT (-77.016275 38.904785)
WASHINGTON,2020,3,,-,0,,,-,,-,,-,16,,,-,15,,,-,13,,9,,19,,WASHINGTON,,20200362,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,3,,-,0,,,-,,-,1,,16,,6,,12,,2,,19,,11,,20,,,NEW ENGLAND,20200302,
RHODE ISLAND,2020,3,,-,0,,,-,,-,,-,4,,2,,,-,,-,5,,,-,5,,RHODE ISLAND,,20200307,POINT (-71.534637 41.572574)
OREGON,2020,3,,-,0,,,-,,-,1,,16,,11,,9,,,-,8,,2,,9,,OREGON,,20200361,POINT (-120.605279 43.940449)
DELAWARE,2020,3,,-,0,,,-,,-,1,,4,,2,,1,,,-,2,,,-,1,,DELAWARE,,20200329,POINT (-75.452394 38.994926)
ALABAMA,2020,3,,-,0,,,-,,-,,-,8,,,-,5,,,-,28,,5,,12,,ALABAMA,,20200339,POINT (-86.844516 32.756889)
KANSAS,2020,3,,-,0,,,-,,-,,-,14,,,-,4,,,-,4,,,-,3,,KANSAS,,20200322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,3,,-,0,,,-,,-,,-,20,,,-,16,,1,,16,,12,,16,,NORTH CAROLINA,,20200334,POINT (-79.130883 35.52603)
GUAM,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200366,POINT (144.653198 13.3532)
NEW JERSEY,2020,3,,-,0,,,-,,-,,-,4,,,-,2,,,-,42,,9,,91,,NEW JERSEY,,20200310,POINT (-74.655514 40.110253)
NEW MEXICO,2020,3,,-,0,,,-,,-,,-,7,,,-,7,,,-,12,,3,,1,,NEW MEXICO,,20200354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,3,,-,0,,,-,,-,9,,75,,37,,72,,5,,36,,18,,72,,,EAST NORTH CENTRAL,20200314,
TENNESSEE,2020,3,,-,0,,,-,,-,,-,25,,5,,9,,,-,10,,5,,14,,TENNESSEE,,20200342,POINT (-86.343226 35.842998)
CONNECTICUT,2020,3,,-,0,,,-,,-,,-,9,,,-,7,,,-,7,,,-,5,,CONNECTICUT,,20200303,POINT (-72.738288 41.575155)
MARYLAND,2020,3,,-,0,,,-,,-,1,,10,,2,,13,,4,,8,,8,,15,,MARYLAND,,20200333,POINT (-76.687282 38.946466)
MAINE,2020,2,,-,0,,,-,,-,,-,2,,,-,1,,,-,2,,,-,,-,MAINE,,20200204,POINT (-69.06137 45.117911)
MASSACHUSETTS,2020,2,,-,0,,,-,,-,,-,7,,,-,,-,5,,12,,8,,7,,MASSACHUSETTS,,20200205,POINT (-71.481104 42.151077)
RHODE ISLAND,2020,2,,-,0,,,-,,-,,-,4,,,-,,-,,-,5,,,-,3,,RHODE ISLAND,,20200207,POINT (-71.534637 41.572574)
VERMONT,2020,2,,-,0,,,-,,-,,-,5,,,-,,-,,-,1,,,-,,-,VERMONT,,20200208,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2020,2,,-,0,,,-,,-,4,,63,,8,,40,,27,,78,,58,,139,,,MIDDLE ATLANTIC,20200209,
NEW JERSEY,2020,2,,-,0,,,-,,-,,-,4,,,-,2,,1,,42,,5,,74,,NEW JERSEY,,20200210,POINT (-74.655514 40.110253)
NEW YORK,2020,2,,-,0,,,-,,-,2,,28,,2,,1,,2,,15,,2,,4,,NEW YORK,,20200211,POINT (-75.59655 42.921241)
NEW YORK CITY,2020,2,,-,0,,,-,,-,,-,26,,1,,24,,23,,55,,44,,49,,,NEW YORK CITY,20200212,
PENNSYLVANIA,2020,2,,-,0,,,-,,-,2,,25,,5,,13,,1,,11,,7,,12,,PENNSYLVANIA,,20200213,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,2,,-,0,,,-,,-,8,,75,,20,,51,,5,,36,,13,,46,,,EAST NORTH CENTRAL,20200214,
ILLINOIS,2020,2,,-,0,,,-,,-,,-,23,,,-,12,,,-,16,,,-,18,,ILLINOIS,,20200215,POINT (-89.148632 40.124144)
INDIANA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200216,POINT (-86.2818 39.919991)
MICHIGAN,2020,2,,-,0,,,-,,-,,-,15,,,-,12,,,-,12,,,-,6,,MICHIGAN,,20200217,POINT (-85.730977 44.874798)
OHIO,2020,2,,-,0,,,-,,-,8,,29,,14,,16,,3,,21,,11,,17,,OHIO,,20200218,POINT (-82.70936 40.415534)
MOUNTAIN,2020,2,,-,0,,,-,,-,2,,52,,12,,34,,5,,38,,13,,20,,,MOUNTAIN,20200248,
WISCONSIN,2020,2,,-,0,,,-,,-,,-,31,,6,,11,,2,,9,,2,,5,,WISCONSIN,,20200219,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2020,2,,-,0,,,-,,-,7,,81,,14,,24,,3,,15,,4,,10,,,WEST NORTH CENTRAL,20200220,
IOWA,2020,2,,-,0,,,-,,-,,-,35,,3,,9,,1,,6,,1,,2,,IOWA,,20200221,POINT (-93.500061 42.074659)
KANSAS,2020,2,,-,0,,,-,,-,,-,14,,,-,1,,,-,4,,,-,1,,KANSAS,,20200222,POINT (-98.38018 38.484729)
MINNESOTA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200223,POINT (-94.198308 46.349153)
MISSOURI,2020,2,,-,0,,,-,,-,4,,20,,7,,11,,2,,7,,2,,5,,MISSOURI,,20200224,POINT (-92.477244 38.3675)
NEBRASKA,2020,2,,-,0,,,-,,-,3,,12,,4,,3,,,-,6,,1,,2,,NEBRASKA,,20200225,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,2,,-,0,,,-,,-,,-,9,,,-,,-,,-,2,,,-,,-,NORTH DAKOTA,,20200226,POINT (-100.46931 47.446305)
SOUTH DAKOTA,2020,2,,-,0,,,-,,-,,-,20,,,-,,-,,-,2,,,-,,-,SOUTH DAKOTA,,20200227,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2020,2,,-,0,,,-,,-,1,,85,,5,,50,,6,,77,,10,,80,,,SOUTH ATLANTIC,20200228,
DELAWARE,2020,2,,-,0,,,-,,-,,-,4,,1,,1,,,-,2,,,-,1,,DELAWARE,,20200229,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,2,,-,0,,,-,,-,,-,1,,,-,1,,,-,4,,,-,2,,DISTRICT OF COLUMBIA,,20200230,POINT (-77.016275 38.904785)
FLORIDA,2020,2,,-,0,,,-,,-,,-,33,,,-,19,,,-,42,,,-,43,,FLORIDA,,20200231,POINT (-82.420978 28.260731)
GEORGIA,2020,2,,-,0,,,-,,-,,-,17,,,-,5,,,-,14,,,-,5,,GEORGIA,,20200232,POINT (-83.426574 32.638481)
MARYLAND,2020,2,,-,0,,,-,,-,1,,10,,1,,5,,4,,8,,5,,9,,MARYLAND,,20200233,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,2,,-,0,,,-,,-,,-,19,,,-,12,,,-,16,,2,,12,,NORTH CAROLINA,,20200234,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,2,,-,0,,,-,,-,,-,7,,3,,4,,2,,15,,3,,5,,SOUTH CAROLINA,,20200235,POINT (-80.864614 33.878572)
VIRGINIA,2020,2,,-,0,,,-,,-,,-,17,,,-,1,,,-,15,,,-,3,,VIRGINIA,,20200236,POINT (-78.666382 37.510861)
WEST VIRGINIA,2020,2,,-,0,,,-,,-,,-,4,,,-,2,,,-,2,,,-,,-,WEST VIRGINIA,,20200237,POINT (-80.613729 38.642579)
EAST SOUTH CENTRAL,2020,2,,-,0,,,-,,-,5,,69,,7,,13,,1,,39,,3,,30,,,EAST SOUTH CENTRAL,20200238,
ALABAMA,2020,2,,-,0,,,-,,-,,-,8,,,-,4,,,-,28,,1,,11,,ALABAMA,,20200239,POINT (-86.844516 32.756889)
KENTUCKY,2020,2,,-,0,,,-,,-,1,,43,,2,,,-,,-,8,,,-,3,,KENTUCKY,,20200240,POINT (-85.290484 37.526683)
MISSISSIPPI,2020,2,,-,0,,,-,,-,,-,5,,,-,3,,1,,10,,1,,6,,MISSISSIPPI,,20200241,POINT (-89.65344 32.713378)
TENNESSEE,2020,2,,-,0,,,-,,-,4,,25,,5,,6,,,-,10,,1,,10,,TENNESSEE,,20200242,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,2,,-,0,,,-,,-,1,,90,,3,,9,,14,,182,,20,,29,,,WEST SOUTH CENTRAL,20200243,
ARKANSAS,2020,2,,-,0,,,-,,-,1,,12,,2,,1,,1,,14,,1,,2,,ARKANSAS,,20200244,POINT (-92.439162 34.899825)
LOUISIANA,2020,2,,-,0,,,-,,-,,-,6,,,-,,-,,-,32,,,-,10,,LOUISIANA,,20200245,POINT (-91.840238 30.921314)
OKLAHOMA,2020,2,,-,0,,,-,,-,,-,43,,1,,,-,7,,6,,8,,,-,OKLAHOMA,,20200246,POINT (-97.508297 35.583449)
TEXAS,2020,2,,-,0,,,-,,-,,-,78,,,-,8,,6,,160,,11,,17,,TEXAS,,20200247,POINT (-99.317341 31.447238)
ARIZONA,2020,2,,-,0,,,-,,-,2,,13,,6,,3,,2,,17,,7,,5,,ARIZONA,,20200249,POINT (-111.664616 34.293239)
COLORADO,2020,2,,-,0,,,-,,-,,-,20,,4,,14,,,-,13,,,-,6,,COLORADO,,20200250,POINT (-105.547832 38.998552)
IDAHO,2020,2,,-,0,,,-,,-,,-,11,,1,,5,,,-,7,,,-,1,,IDAHO,,20200251,POINT (-114.659366 44.389073)
MONTANA,2020,2,,-,0,,,-,,-,,-,4,,,-,2,,,-,2,,,-,,-,MONTANA,,20200252,POINT (-109.645127 47.033521)
NEVADA,2020,2,,-,0,,,-,,-,,-,4,,,-,,-,1,,4,,1,,2,,NEVADA,,20200253,POINT (-114.916992 39.283294)
NEW MEXICO,2020,2,,-,0,,,-,,-,,-,7,,,-,4,,,-,12,,2,,1,,NEW MEXICO,,20200254,POINT (-106.108388 34.421369)
UTAH,2020,2,,-,0,,,-,,-,,-,15,,1,,6,,2,,11,,3,,5,,UTAH,,20200255,POINT (-111.678222 39.323779)
WYOMING,2020,2,,-,0,,,-,,-,,-,6,,,-,,-,,-,1,,,-,,-,WYOMING,,20200256,POINT (-107.55145 42.999627)
PACIFIC,2020,2,,-,0,,,-,,-,3,,115,,13,,94,,9,,105,,25,,134,,,PACIFIC,20200257,
ALASKA,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,ALASKA,,20200258,POINT (-151.631889 63.631126)
