Reporting Area,MMWR Year,MMWR Week,"Shiga toxin-producing E. coli (STEC)§, Current week","Shiga toxin-producing E. coli (STEC)§, Current week, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2016","Shiga toxin-producing E. coli (STEC)§, Cum 2016, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2015","Shiga toxin-producing E. coli (STEC)§, Cum 2015, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2016","Shigellosis, Cum 2016, flag","Shigellosis, Cum 2015","Shigellosis, Cum 2015, flag",Location 1,Location 2
UTAH,2016,1,,-,1,,8,,,-,1,,,-,0,,8,,,-,,-,"UTAH
(39.359772, -111.584173)",
NORTH CAROLINA,2016,1,,-,1,,6,,,-,1,,,-,5,,28,,,-,6,,"NORTH CAROLINA
(35.47995, -79.180571)",
INDIANA,2016,1,,-,1,,8,,,-,,-,,-,5,,13,,,-,9,,"INDIANA
(39.76845, -86.156212)",
DELAWARE,2016,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,"DELAWARE
(39.008676, -75.574561)",
NORTH DAKOTA,2016,1,,-,0,,6,,,-,,-,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
RHODE ISLAND,2016,1,,-,0,,3,,,-,,-,,-,0,,6,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
E.S. CENTRAL,2016,1,2,,5,,14,,2,,1,,19,,25,,50,,19,,48,,,
OHIO,2016,1,3,,5,,19,,3,,2,,27,,11,,40,,27,,11,,"OHIO
(40.056807, -82.405897)",
IDAHO,2016,1,,-,3,,9,,,-,,-,,-,0,,5,,,-,1,,"IDAHO
(43.680635, -114.364237)",
TENNESSEE,2016,1,2,,3,,11,,2,,1,,7,,4,,15,,7,,13,,"TENNESSEE
(35.681402, -85.774444)",
PACIFIC,2016,1,1,,23,,72,,1,,25,,4,,48,,169,,4,,48,,,
NEVADA,2016,1,,-,1,,6,,,-,,-,,-,0,,6,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEBRASKA,2016,1,2,,2,,7,,2,,,-,,-,1,,8,,,-,5,,"NEBRASKA
(41.640503, -99.367122)",
GUAM,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WASHINGTON,2016,1,,-,0,,50,,,-,,-,,-,2,,11,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
LOUISIANA,2016,1,,-,0,,12,,,-,1,,,-,4,,12,,,-,4,,"LOUISIANA
(31.2931, -92.463284)",
PUERTO RICO,2016,1,,-,0,,1,,,-,,-,,-,0,,7,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MASSACHUSETTS,2016,1,,-,1,,6,,,-,1,,1,,3,,12,,1,,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
MAINE,2016,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEW YORK,2016,1,1,,4,,14,,1,,,-,2,,5,,18,,2,,11,,"NEW YORK
(42.826892, -75.544286)",
MONTANA,2016,1,,-,1,,6,,,-,,-,,-,0,,2,,,-,2,,"MONTANA
(47.062617, -109.430168)",
WEST VIRGINIA,2016,1,,-,0,,2,,,-,,-,,-,0,,4,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
FLORIDA,2016,1,2,,2,,8,,2,,3,,22,,32,,86,,22,,9,,"FLORIDA
(28.915325, -81.922409)",
ALABAMA,2016,1,,-,1,,5,,,-,,-,5,,11,,31,,5,,19,,"ALABAMA
(32.839182, -86.631125)",
KENTUCKY,2016,1,,-,1,,6,,,-,,-,6,,6,,29,,6,,16,,"KENTUCKY
(37.64591, -84.774043)",
E.N. CENTRAL,2016,1,3,,13,,31,,3,,5,,34,,44,,85,,34,,56,,,
MARYLAND,2016,1,1,,1,,7,,1,,,-,3,,4,,13,,3,,4,,"MARYLAND
(39.290443, -76.612333)",
KANSAS,2016,1,,-,2,,5,,,-,,-,1,,2,,12,,1,,,-,"KANSAS
(38.345528, -98.201847)",
MINNESOTA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
W.S. CENTRAL,2016,1,1,,15,,38,,1,,6,,19,,120,,268,,19,,21,,,
OREGON,2016,1,,-,4,,11,,,-,3,,,-,2,,9,,,-,,-,"OREGON
(44.567912, -120.156945)",
NEW YORK CITY,2016,1,1,,2,,8,,1,,1,,7,,11,,51,,7,,30,,NEW YORK CITY,
MISSOURI,2016,1,,-,0,,6,,,-,3,,,-,0,,35,,,-,24,,"MISSOURI
(38.636168, -92.566292)",
CALIFORNIA,2016,1,,-,14,,31,,,-,14,,4,,42,,158,,4,,48,,"CALIFORNIA
(37.640735, -121.002435)",
VIRGIN ISL.,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
HAWAII,2016,1,,-,0,,5,,,-,4,,,-,1,,6,,,-,,-,"HAWAII
(21.30992, -157.858158)",
OKLAHOMA,2016,1,,-,1,,32,,,-,,-,,-,13,,165,,,-,1,,"OKLAHOMA
(35.468494, -97.521264)",
UNITED STATES,2016,1,16,,111,,194,,16,,56,,166,,408,,610,,166,,332,,,
ILLINOIS,2016,1,,-,3,,8,,,-,2,,,-,15,,30,,,-,17,,"ILLINOIS
(40.477092, -88.993221)",
C.N.M.I.,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
NEW ENGLAND,2016,1,,-,3,,17,,,-,3,,1,,5,,17,,1,,2,,,
MISSISSIPPI,2016,1,,-,0,,3,,,-,,-,1,,1,,7,,1,,,-,"MISSISSIPPI
(32.738663, -89.537312)",
ALASKA,2016,1,1,,0,,4,,1,,4,,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
VERMONT,2016,1,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
WISCONSIN,2016,1,,-,1,,7,,,-,,-,4,,3,,18,,4,,12,,"WISCONSIN
(44.395526, -89.834513)",
PENNSYLVANIA,2016,1,,-,4,,11,,,-,,-,3,,7,,23,,3,,1,,"PENNSYLVANIA
(40.789676, -77.858055)",
TEXAS,2016,1,,-,9,,33,,,-,5,,17,,97,,205,,17,,15,,"TEXAS
(31.827233, -99.423022)",
CONNECTICUT,2016,1,,-,1,,8,,,-,2,,,-,1,,4,,,-,2,,"CONNECTICUT
(41.544654, -72.651713)",
DIST. OF COL.,2016,1,,-,0,,1,,,-,,-,,-,0,,4,,,-,2,,DIST. OF COL.,
NEW HAMPSHIRE,2016,1,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ARIZONA,2016,1,1,,2,,11,,1,,,-,16,,8,,30,,16,,7,,"ARIZONA
(34.869712, -111.760902)",
NEW MEXICO,2016,1,,-,0,,3,,,-,,-,,-,1,,5,,,-,1,,"NEW MEXICO
(34.520396, -106.244402)",
NEW JERSEY,2016,1,,-,1,,3,,,-,3,,,-,6,,15,,,-,7,,"NEW JERSEY
(40.104655, -74.386686)",
IOWA,2016,1,,-,2,,10,,,-,,-,7,,9,,41,,7,,2,,"IOWA
(42.46942, -93.815856)",
MID. ATLANTIC,2016,1,2,,12,,23,,2,,4,,12,,28,,82,,12,,49,,,
COLORADO,2016,1,,-,2,,16,,,-,,-,,-,0,,4,,,-,,-,"COLORADO
(38.841772, -106.132562)",
VIRGINIA,2016,1,,-,1,,6,,,-,1,,3,,4,,18,,3,,2,,"VIRGINIA
(37.542699, -78.45822)",
SOUTH CAROLINA,2016,1,1,,0,,7,,1,,,-,10,,3,,44,,10,,11,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MOUNTAIN,2016,1,1,,11,,39,,1,,2,,16,,14,,33,,16,,11,,,
GEORGIA,2016,1,,-,2,,7,,,-,1,,15,,25,,46,,15,,30,,"GEORGIA
(32.836038, -83.631709)",
S. ATLANTIC,2016,1,4,,10,,21,,4,,6,,53,,76,,153,,53,,65,,,
ARKANSAS,2016,1,1,,1,,5,,1,,,-,2,,2,,7,,2,,1,,"ARKANSAS
(34.748745, -92.275105)",
W.N. CENTRAL,2016,1,2,,9,,22,,2,,4,,8,,25,,61,,8,,32,,,
MICHIGAN,2016,1,,-,2,,8,,,-,1,,3,,9,,23,,3,,7,,"MICHIGAN
(44.66399, -84.711206)",
AMER. SAMOA,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,AMER. SAMOA,
WYOMING,2016,1,,-,0,,1,,,-,1,,,-,0,,3,,,-,,-,"WYOMING
(43.23558, -108.110518)",
SOUTH DAKOTA,2016,1,,-,1,,5,,,-,1,,,-,3,,20,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
INDIANA,2016,2,,-,1,,8,,,-,1,,,-,5,,13,,,-,22,,"INDIANA
(39.76845, -86.156212)",
TENNESSEE,2016,2,3,,2,,11,,6,,2,,3,,4,,15,,10,,17,,"TENNESSEE
(35.681402, -85.774444)",
HAWAII,2016,2,,-,0,,5,,,-,5,,,-,1,,6,,,-,1,,"HAWAII
(21.30992, -157.858158)",
PENNSYLVANIA,2016,2,,-,4,,11,,1,,,-,4,,7,,23,,8,,9,,"PENNSYLVANIA
(40.789676, -77.858055)",
VIRGINIA,2016,2,,-,1,,6,,,-,2,,2,,4,,18,,5,,2,,"VIRGINIA
(37.542699, -78.45822)",
WEST VIRGINIA,2016,2,,-,0,,2,,,-,1,,,-,0,,4,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
DIST. OF COL.,2016,2,,-,0,,1,,,-,,-,,-,0,,4,,,-,2,,DIST. OF COL.,
UNITED STATES,2016,2,20,,113,,194,,44,,116,,221,,414,,610,,437,,622,,,
NEW ENGLAND,2016,2,,-,3,,17,,,-,3,,,-,5,,17,,2,,8,,,
OHIO,2016,2,2,,5,,19,,5,,4,,57,,11,,40,,78,,22,,"OHIO
(40.056807, -82.405897)",
W.N. CENTRAL,2016,2,2,,9,,22,,5,,9,,1,,24,,61,,15,,55,,,
NORTH DAKOTA,2016,2,,-,1,,6,,,-,,-,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
MID. ATLANTIC,2016,2,4,,12,,23,,7,,5,,10,,28,,82,,23,,109,,,
KENTUCKY,2016,2,,-,1,,6,,2,,,-,,-,6,,29,,8,,30,,"KENTUCKY
(37.64591, -84.774043)",
AMER. SAMOA,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,AMER. SAMOA,
KANSAS,2016,2,,-,2,,5,,,-,,-,,-,2,,12,,2,,2,,"KANSAS
(38.345528, -98.201847)",
ALABAMA,2016,2,,-,1,,5,,,-,,-,,-,10,,31,,5,,33,,"ALABAMA
(32.839182, -86.631125)",
MONTANA,2016,2,,-,1,,6,,1,,,-,,-,0,,2,,,-,2,,"MONTANA
(47.062617, -109.430168)",
ALASKA,2016,2,,-,0,,2,,1,,4,,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NORTH CAROLINA,2016,2,,-,1,,6,,,-,6,,,-,5,,28,,,-,13,,"NORTH CAROLINA
(35.47995, -79.180571)",
MISSOURI,2016,2,,-,0,,6,,,-,6,,,-,0,,35,,,-,42,,"MISSOURI
(38.636168, -92.566292)",
E.S. CENTRAL,2016,2,3,,5,,14,,8,,2,,3,,25,,50,,25,,82,,,
VERMONT,2016,2,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
SOUTH DAKOTA,2016,2,,-,1,,5,,,-,2,,,-,3,,20,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
OKLAHOMA,2016,2,,-,1,,32,,,-,,-,15,,13,,165,,15,,7,,"OKLAHOMA
(35.468494, -97.521264)",
MOUNTAIN,2016,2,3,,11,,39,,5,,10,,27,,15,,33,,55,,29,,,
GEORGIA,2016,2,,-,2,,7,,1,,5,,10,,25,,46,,32,,40,,"GEORGIA
(32.836038, -83.631709)",
WYOMING,2016,2,,-,0,,1,,,-,2,,,-,0,,3,,,-,,-,"WYOMING
(43.23558, -108.110518)",
C.N.M.I.,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
MINNESOTA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
PUERTO RICO,2016,2,,-,0,,1,,,-,,-,,-,0,,7,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEW YORK,2016,2,,-,4,,14,,1,,,-,,-,5,,18,,2,,24,,"NEW YORK
(42.826892, -75.544286)",
MISSISSIPPI,2016,2,,-,0,,3,,,-,,-,,-,2,,7,,2,,2,,"MISSISSIPPI
(32.738663, -89.537312)",
NEW YORK CITY,2016,2,4,,2,,8,,5,,1,,6,,10,,51,,13,,59,,NEW YORK CITY,
DELAWARE,2016,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,"DELAWARE
(39.008676, -75.574561)",
MARYLAND,2016,2,1,,1,,7,,1,,1,,4,,4,,13,,7,,12,,"MARYLAND
(39.290443, -76.612333)",
VIRGIN ISL.,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
COLORADO,2016,2,,-,2,,16,,,-,2,,,-,0,,4,,,-,2,,"COLORADO
(38.841772, -106.132562)",
FLORIDA,2016,2,4,,2,,8,,6,,5,,19,,32,,86,,41,,24,,"FLORIDA
(28.915325, -81.922409)",
S. ATLANTIC,2016,2,5,,10,,21,,9,,20,,43,,76,,153,,104,,109,,,
MICHIGAN,2016,2,,-,2,,8,,1,,1,,4,,9,,23,,12,,11,,"MICHIGAN
(44.66399, -84.711206)",
RHODE ISLAND,2016,2,,-,0,,3,,,-,,-,,-,0,,6,,1,,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEBRASKA,2016,2,2,,2,,7,,5,,,-,1,,1,,8,,1,,6,,"NEBRASKA
(41.640503, -99.367122)",
UTAH,2016,2,,-,1,,8,,,-,2,,,-,0,,8,,,-,4,,"UTAH
(39.359772, -111.584173)",
OREGON,2016,2,,-,4,,11,,,-,8,,,-,2,,9,,1,,,-,"OREGON
(44.567912, -120.156945)",
IDAHO,2016,2,2,,3,,9,,2,,1,,1,,0,,5,,4,,1,,"IDAHO
(43.680635, -114.364237)",
NEVADA,2016,2,,-,1,,6,,,-,1,,,-,1,,6,,,-,1,,"NEVADA
(39.491833, -117.070159)",
TEXAS,2016,2,1,,10,,33,,2,,7,,49,,97,,267,,66,,45,,"TEXAS
(31.827233, -99.423022)",
CALIFORNIA,2016,2,,-,14,,31,,,-,29,,2,,41,,161,,18,,72,,"CALIFORNIA
(37.640735, -121.002435)",
GUAM,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WASHINGTON,2016,2,,-,0,,50,,,-,,-,2,,2,,20,,2,,,-,"WASHINGTON
(47.517368, -120.467672)",
IOWA,2016,2,,-,2,,10,,,-,1,,,-,10,,41,,12,,4,,"IOWA
(42.46942, -93.815856)",
NEW HAMPSHIRE,2016,2,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ILLINOIS,2016,2,,-,3,,8,,,-,5,,1,,15,,30,,6,,25,,"ILLINOIS
(40.477092, -88.993221)",
E.N. CENTRAL,2016,2,2,,13,,31,,6,,11,,65,,43,,87,,105,,97,,,
LOUISIANA,2016,2,,-,0,,12,,,-,3,,,-,4,,12,,,-,6,,"LOUISIANA
(31.2931, -92.463284)",
CONNECTICUT,2016,2,,-,1,,8,,,-,2,,,-,1,,4,,,-,6,,"CONNECTICUT
(41.544654, -72.651713)",
SOUTH CAROLINA,2016,2,,-,0,,7,,1,,,-,8,,3,,44,,19,,15,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MASSACHUSETTS,2016,2,,-,1,,6,,,-,1,,,-,3,,12,,1,,2,,"MASSACHUSETTS
(42.268546, -72.085064)",
W.S. CENTRAL,2016,2,1,,15,,38,,3,,10,,68,,120,,282,,87,,60,,,
MAINE,2016,2,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"MAINE
(45.252223, -68.986647)",
ARKANSAS,2016,2,,-,1,,5,,1,,,-,4,,2,,7,,6,,2,,"ARKANSAS
(34.748745, -92.275105)",
NEW MEXICO,2016,2,,-,0,,3,,,-,1,,,-,1,,5,,1,,1,,"NEW MEXICO
(34.520396, -106.244402)",
ARIZONA,2016,2,1,,2,,11,,2,,1,,26,,9,,30,,50,,18,,"ARIZONA
(34.869712, -111.760902)",
NEW JERSEY,2016,2,,-,1,,3,,,-,4,,,-,6,,15,,,-,17,,"NEW JERSEY
(40.104655, -74.386686)",
PACIFIC,2016,2,,-,23,,73,,1,,46,,4,,48,,172,,21,,73,,,
WISCONSIN,2016,2,,-,1,,7,,,-,,-,3,,3,,19,,9,,17,,"WISCONSIN
(44.395526, -89.834513)",
WEST VIRGINIA,2016,3,,-,0,,2,,1,,1,,,-,0,,4,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
KENTUCKY,2016,3,,-,1,,6,,2,,1,,,-,6,,29,,8,,39,,"KENTUCKY
(37.64591, -84.774043)",
S. ATLANTIC,2016,3,5,,10,,21,,16,,25,,24,,77,,153,,134,,172,,,
DELAWARE,2016,3,,-,0,,1,,,-,,-,,-,0,,2,,1,,3,,"DELAWARE
(39.008676, -75.574561)",
TENNESSEE,2016,3,3,,3,,11,,11,,3,,,-,4,,15,,10,,32,,"TENNESSEE
(35.681402, -85.774444)",
CONNECTICUT,2016,3,,-,1,,8,,1,,2,,,-,1,,4,,,-,6,,"CONNECTICUT
(41.544654, -72.651713)",
COLORADO,2016,3,,-,1,,16,,,-,4,,,-,0,,4,,,-,3,,"COLORADO
(38.841772, -106.132562)",
NEVADA,2016,3,,-,0,,6,,,-,2,,,-,0,,6,,,-,1,,"NEVADA
(39.491833, -117.070159)",
UNITED STATES,2016,3,24,,116,,194,,89,,175,,183,,417,,610,,717,,990,,,
WISCONSIN,2016,3,,-,1,,7,,,-,,-,10,,3,,19,,26,,21,,"WISCONSIN
(44.395526, -89.834513)",
ALASKA,2016,3,,-,0,,2,,2,,4,,,-,0,,1,,,-,1,,"ALASKA
(64.836661, -147.738891)",
MISSOURI,2016,3,,-,0,,6,,,-,12,,,-,0,,35,,,-,70,,"MISSOURI
(38.636168, -92.566292)",
VIRGINIA,2016,3,,-,1,,6,,,-,3,,4,,5,,18,,10,,5,,"VIRGINIA
(37.542699, -78.45822)",
ARKANSAS,2016,3,,-,1,,5,,1,,1,,1,,2,,7,,7,,3,,"ARKANSAS
(34.748745, -92.275105)",
CALIFORNIA,2016,3,,-,14,,31,,3,,37,,1,,41,,161,,45,,111,,"CALIFORNIA
(37.640735, -121.002435)",
W.N. CENTRAL,2016,3,2,,9,,22,,13,,23,,5,,24,,61,,36,,93,,,
HAWAII,2016,3,,-,0,,5,,,-,5,,,-,1,,6,,1,,1,,"HAWAII
(21.30992, -157.858158)",
MID. ATLANTIC,2016,3,6,,12,,23,,16,,12,,20,,27,,82,,53,,191,,,
GEORGIA,2016,3,,-,2,,7,,3,,5,,8,,25,,46,,42,,62,,"GEORGIA
(32.836038, -83.631709)",
MISSISSIPPI,2016,3,,-,0,,3,,,-,,-,,-,1,,7,,2,,3,,"MISSISSIPPI
(32.738663, -89.537312)",
RHODE ISLAND,2016,3,,-,0,,3,,,-,,-,,-,0,,6,,1,,2,,"RHODE ISLAND
(41.707447, -71.522488)",
IDAHO,2016,3,2,,3,,9,,4,,2,,,-,0,,5,,4,,1,,"IDAHO
(43.680635, -114.364237)",
FLORIDA,2016,3,5,,2,,8,,10,,6,,9,,32,,86,,50,,41,,"FLORIDA
(28.915325, -81.922409)",
INDIANA,2016,3,,-,2,,8,,,-,1,,,-,5,,12,,1,,33,,"INDIANA
(39.76845, -86.156212)",
LOUISIANA,2016,3,,-,0,,12,,,-,3,,,-,4,,12,,,-,10,,"LOUISIANA
(31.2931, -92.463284)",
NEW MEXICO,2016,3,,-,0,,3,,,-,4,,,-,1,,5,,1,,1,,"NEW MEXICO
(34.520396, -106.244402)",
NEW HAMPSHIRE,2016,3,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEBRASKA,2016,3,2,,2,,7,,7,,4,,4,,1,,8,,5,,9,,"NEBRASKA
(41.640503, -99.367122)",
SOUTH CAROLINA,2016,3,,-,0,,7,,1,,1,,3,,3,,44,,24,,18,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MASSACHUSETTS,2016,3,,-,1,,6,,,-,3,,,-,3,,12,,1,,6,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW YORK CITY,2016,3,3,,2,,8,,8,,4,,13,,9,,51,,26,,110,,NEW YORK CITY,
SOUTH DAKOTA,2016,3,,-,1,,5,,,-,2,,,-,3,,20,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
VIRGIN ISL.,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
PACIFIC,2016,3,2,,23,,73,,8,,54,,6,,48,,172,,60,,114,,,
NEW YORK,2016,3,1,,4,,14,,3,,2,,4,,5,,18,,14,,37,,"NEW YORK
(42.826892, -75.544286)",
VERMONT,2016,3,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEW JERSEY,2016,3,,-,0,,3,,,-,6,,,-,6,,15,,1,,28,,"NEW JERSEY
(40.104655, -74.386686)",
WYOMING,2016,3,,-,0,,1,,,-,2,,,-,0,,3,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MARYLAND,2016,3,,-,1,,7,,1,,2,,,-,4,,13,,7,,21,,"MARYLAND
(39.290443, -76.612333)",
OKLAHOMA,2016,3,,-,1,,32,,,-,,-,15,,13,,165,,28,,12,,"OKLAHOMA
(35.468494, -97.521264)",
MINNESOTA,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
MAINE,2016,3,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEW ENGLAND,2016,3,,-,3,,17,,1,,5,,,-,4,,17,,2,,14,,,
W.S. CENTRAL,2016,3,2,,15,,38,,6,,16,,44,,120,,315,,140,,98,,,
AMER. SAMOA,2016,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,AMER. SAMOA,
E.S. CENTRAL,2016,3,3,,5,,15,,13,,5,,3,,25,,50,,35,,123,,,
TEXAS,2016,3,2,,10,,33,,5,,12,,28,,97,,299,,105,,73,,"TEXAS
(31.827233, -99.423022)",
ILLINOIS,2016,3,,-,3,,8,,,-,7,,,-,15,,30,,8,,34,,"ILLINOIS
(40.477092, -88.993221)",
KANSAS,2016,3,,-,2,,5,,2,,4,,,-,2,,12,,3,,6,,"KANSAS
(38.345528, -98.201847)",
NORTH CAROLINA,2016,3,,-,1,,6,,,-,7,,,-,5,,28,,,-,20,,"NORTH CAROLINA
(35.47995, -79.180571)",
E.N. CENTRAL,2016,3,,-,14,,31,,7,,16,,51,,44,,88,,162,,146,,,
IOWA,2016,3,,-,2,,10,,4,,1,,1,,10,,41,,28,,6,,"IOWA
(42.46942, -93.815856)",
UTAH,2016,3,,-,1,,8,,,-,2,,,-,0,,8,,,-,5,,"UTAH
(39.359772, -111.584173)",
MICHIGAN,2016,3,,-,2,,8,,2,,1,,2,,9,,23,,14,,22,,"MICHIGAN
(44.66399, -84.711206)",
OHIO,2016,3,,-,5,,19,,5,,7,,39,,11,,52,,113,,36,,"OHIO
(40.056807, -82.405897)",
C.N.M.I.,2016,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
GUAM,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ALABAMA,2016,3,,-,1,,5,,,-,1,,3,,11,,31,,15,,49,,"ALABAMA
(32.839182, -86.631125)",
MONTANA,2016,3,,-,1,,6,,1,,1,,1,,0,,2,,1,,3,,"MONTANA
(47.062617, -109.430168)",
PUERTO RICO,2016,3,,-,0,,1,,,-,,-,,-,0,,7,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MOUNTAIN,2016,3,4,,11,,39,,9,,19,,30,,15,,35,,95,,39,,,
WASHINGTON,2016,3,,-,0,,51,,,-,,-,2,,2,,22,,4,,1,,"WASHINGTON
(47.517368, -120.467672)",
PENNSYLVANIA,2016,3,2,,3,,11,,5,,,-,3,,7,,23,,12,,16,,"PENNSYLVANIA
(40.789676, -77.858055)",
DIST. OF COL.,2016,3,,-,0,,1,,,-,,-,,-,0,,4,,,-,2,,DIST. OF COL.,
NORTH DAKOTA,2016,3,,-,0,,6,,,-,,-,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
OREGON,2016,3,2,,4,,11,,3,,8,,3,,2,,9,,10,,,-,"OREGON
(44.567912, -120.156945)",
ARIZONA,2016,3,2,,2,,11,,4,,2,,29,,9,,34,,89,,25,,"ARIZONA
(34.869712, -111.760902)",
MONTANA,2016,4,1,,1,,6,,2,,2,,,-,0,,2,,1,,4,,"MONTANA
(47.062617, -109.430168)",
RHODE ISLAND,2016,4,,-,0,,3,,,-,,-,,-,0,,6,,1,,2,,"RHODE ISLAND
(41.707447, -71.522488)",
WEST VIRGINIA,2016,4,,-,0,,2,,2,,1,,,-,0,,4,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NEVADA,2016,4,,-,0,,6,,,-,2,,,-,0,,6,,,-,2,,"NEVADA
(39.491833, -117.070159)",
ALABAMA,2016,4,,-,1,,5,,1,,1,,3,,11,,31,,24,,63,,"ALABAMA
(32.839182, -86.631125)",
IOWA,2016,4,,-,3,,10,,7,,1,,4,,10,,41,,40,,8,,"IOWA
(42.46942, -93.815856)",
MISSISSIPPI,2016,4,,-,0,,3,,,-,,-,1,,1,,7,,3,,6,,"MISSISSIPPI
(32.738663, -89.537312)",
PUERTO RICO,2016,4,,-,0,,1,,,-,,-,,-,0,,7,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
KENTUCKY,2016,4,,-,1,,6,,8,,2,,1,,6,,29,,18,,45,,"KENTUCKY
(37.64591, -84.774043)",
MID. ATLANTIC,2016,4,7,,12,,23,,27,,15,,23,,27,,75,,79,,246,,,
NORTH DAKOTA,2016,4,,-,0,,6,,,-,2,,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW MEXICO,2016,4,,-,0,,3,,,-,4,,,-,1,,5,,2,,3,,"NEW MEXICO
(34.520396, -106.244402)",
VIRGINIA,2016,4,,-,1,,6,,1,,3,,5,,5,,18,,17,,8,,"VIRGINIA
(37.542699, -78.45822)",
ALASKA,2016,4,,-,0,,2,,2,,4,,,-,0,,1,,,-,1,,"ALASKA
(64.836661, -147.738891)",
C.N.M.I.,2016,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
