School_Year,OPT_Code,Name,Affiliation,Site_Type,Street_Address,City,State,Zip,Longitude,Latitude,Door_To_Door_Service,Stop_To_School_Service,Common_Carrier_Svc_Metrocards,Site_Reimbursement,Mid_Day_Service,D2D_Late_Day_Programs,S2S_Late_Day_Programs
2017-2018,29283,PREPARATORY ACAD FOR WRITERS,Public,School,143-10 SPRINGFIELD BLVD,Queens,NY,11413,-73.7570010000,40.6682800000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,29289,QUEENS UNITED M.S.,Public,School,229-02 137TH AVENUE,Queens,NY,11413,-73.7432230000,40.6730000000,Yes,No,Yes,No,No,No,No
2017-2018,29295,PS/IS 295,Public,School,222-14 JAMAICA AVENUE,Queens,NY,11428,-73.7318700000,40.7205380000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,29313,"BEN FRANKLIN HS FIN,INFO,TECH",Public,School,207-01 116TH AVENUE,Queens,NY,11411,-73.7457610000,40.6978910000,Yes,No,Yes,No,No,No,No
2017-2018,29326,CAMBRIA HEIGHTS ACADEMY,Public,School,188-04 91st AVENUE   2ND FLOOR,Queens,NY,11423,-73.7711550000,40.7117750000,Yes,No,Yes,No,Yes,No,No
2017-2018,29337,SUCCESS ACADEMY ROSEDALE,Charter,School,147-65 249TH STREET,Queens,NY,11422,-73.7386760000,40.6560080000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,29339,SUCCESS ACAD-SPRINGFIELD GARDS,Charter,School,132-55 RIDGEDALE STREET,Queens,NY,11413,-73.7533300000,40.6817100000,No,Yes,Yes,No,Yes,No,No
2017-2018,29341,RIVERTON STREET CHARTER SCHOOL,Charter,School,118-34 RIVERTON STREET,Queens,NY,11412,-73.7631480000,40.6894710000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,29355,COLLABORATIVE ARTS M.S.,Public,School,145-00 SPRINGFIELD BLVD,Queens,NY,11413,-73.7589500000,40.6646700000,Yes,Yes,Yes,No,No,No,No
2017-2018,29356,COMMUNITY VOICES M.S.,Public,School,145-00 SPRINGFIELD BLVD,Queens,NY,11413,-73.7589500000,40.6646700000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,29360,PS 360,Public,School,199-10  112TH AVENUE,Queens,NY,11412,-73.7565620000,40.7024410000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,29401,THE EARLY CHILDHOOD INSTITUTE,Nonsectarian,School,113-53 SPRINGFIELD BLVD,Queens,NY,11429,-73.7406580000,40.7025360000,No,No,No,No,No,No,No
2017-2018,29405,P811Q @ P822Q,Public,School,114-36 202 STREET,Queens,NY,11412,-73.7526220000,40.6996360000,Yes,No,No,No,Yes,No,No
2017-2018,29408,Humanities and the Arts H.S.,Public,School,207-01 116 AVENUE,Queens,NY,11411,-73.7457610000,40.6978910000,No,No,Yes,No,Yes,No,No
2017-2018,29409,"Math, Science, & Technology HS",Public,School,207-01 116 AVENUE,Queens,NY,11411,-73.7457610000,40.6978910000,Yes,No,Yes,No,Yes,No,No
2017-2018,29431,P752Q @ CVS STORE #3138,Public,School,206-09 LINDEN BLVD,Queens,NY,11429,-73.7459880000,40.6962640000,No,No,No,No,No,No,No
2017-2018,29432,PS176 ANNEX @PS059,Public,School,132-55 RIDGEDALE STREET,Queens,NY,11413,-73.7533300000,40.6817100000,No,No,No,No,Yes,No,No
2017-2018,29443,P177Q @ PS 295,Public,School,222-14 JAMAICA AVENUE,Queens,NY,11428,-73.7318700000,40.7205380000,Yes,No,No,No,Yes,No,No
2017-2018,29458,P811Q @ PS 136,Public,School,201-15 115 AVENUE,Queens,NY,11412,-73.7526850000,40.6983510000,No,No,No,No,No,No,No
2017-2018,29462,MERRICK ACADEMY CHARTER SCHOOL,Charter,School,136-25 218TH STREET,Queens,NY,11413,-73.7530930000,40.6764830000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,29467,P009Q @ P268Q,Public,School,175-02 JAMAICA AVENUE,Queens,NY,11432,-73.7849760000,40.7077970000,Yes,No,No,No,Yes,No,No
2017-2018,29469,P752Q@ QUEENS TRANSITION CTR,Public,School,222-14 JAMAICA AVENUE,Queens,NY,11428,-73.7318700000,40.7205380000,Yes,No,Yes,No,No,No,No
2017-2018,29551,EXCELSIOR PREP HIGH SCHOOL,Public,School,143-10 SPRINGFIELD BLVD.,Queens,NY,11413,-73.7570010000,40.6682800000,Yes,No,Yes,No,Yes,No,No
2017-2018,29552,HIGH SCHOOL FOR THE SCIENCES,Public,School,143-10 SPRINGFIELD BLVD.,Queens,NY,11413,-73.7570010000,40.6682800000,Yes,No,Yes,No,Yes,No,No
2017-2018,29560,BETHEL CHRISTIAN ACADEMY,Christian,School,215-32 JAMAICA AVE,Queens,NY,11428,-73.7395570000,40.7172410000,No,No,Yes,No,Yes,No,No
2017-2018,29616,ROSEDALE CHRISTIAN ACADEMY,Christian,School,247-11 FRANCIS LEWIS BLVD,Queens,NY,11422,-73.7338150000,40.6637150000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,29618,WORD CHRISTIAN ACADEMY,Christian,School,230-01 LINDEN BLVD,Queens,NY,11411,-73.7312630000,40.6923890000,No,No,Yes,No,No,No,No
2017-2018,29636,WALK IN LOVE CHRISTIAN ACADEMY,Nonsectarian,School,215-32 JAMAICA AVENUE,Queens,NY,11428,-73.7395570000,40.7172410000,No,No,Yes,No,No,No,No
2017-2018,29656,P752Q @ ARMY NATIONAL GUARD,Public,School,93-05 168TH STREET,Queens,NY,11433,-73.7914490000,40.7047350000,No,No,No,No,No,No,No
2017-2018,29657,P752Q @ VETERAN'S HOME,Public,School,178-50 LINDEN BLVD,Queens,NY,11434,-73.7692610000,40.6925370000,Yes,No,Yes,No,No,No,No
2017-2018,29658,P752Q @ LAURELTON ACADEMY,Public,School,141-25 224 STREET,Queens,NY,11413,-73.7513800000,40.6691360000,No,No,No,No,No,No,No
2017-2018,29659,P752Q @ GOOD FOUNDATIONS,Public,School,196-04 LINDEN BLVD,Queens,NY,11412,-73.7558200000,40.6933670000,No,No,No,No,No,No,No
2017-2018,29663,P811Q @ PS 147,Public,School,218-01 116TH AVENUE,Queens,NY,11411,-73.7409120000,40.6973810000,Yes,No,No,No,Yes,No,No
2017-2018,29668,P2G @ JAMAICA HOSP DENTAL,Public,School,134-20 JAMAICA AVENUE,Queens,NY,11418,-73.8184410000,40.7022860000,No,No,Yes,No,No,No,No
2017-2018,29686,CAMBRIA CTR FOR THE GIFTED,Nonsectarian,School,233-10 LINDEN BLVD.,Queens,NY,11411,-73.7289250000,40.6909620000,No,No,Yes,No,Yes,No,No
2017-2018,29687,STEPPING STONE OF S.E. QUEENS,Nonsectarian,School,114-28 FRANCIS LEWIS BLVD,Queens,NY,11411,-73.7484490000,40.7007480000,No,No,No,No,No,No,No
2017-2018,29725,SACRED HEART SCHOOL,Parochial,School,115-50 221ST STREET,Queens,NY,11411,-73.7373620000,40.6987490000,No,Yes,Yes,No,Yes,No,No
2017-2018,29727,ST CLARE CATHOLIC ACADEMY,Parochial,School,137-25 BROOKVILLE BLVD,Queens,NY,11422,-73.7363380000,40.6691170000,No,Yes,Yes,No,No,No,No
2017-2018,29728,CHRIST LUTHERAN SCHOOL,Christian,School,248-01 FRANCIS LEWIS BLVD,Queens,NY,11422,-73.7333380000,40.6631870000,No,No,No,No,No,No,No
2017-2018,29733,IMMACULATE CONCEPTION SCH,Parochial,School,179-14 DALNY ROAD,Queens,NY,11432,-73.7851740000,40.7160110000,No,Yes,Yes,No,Yes,No,No
2017-2018,30148,PS 148,Public,School,89-02 32ND AVENUE,Queens,NY,11369,-73.8790830000,40.7582990000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,29734,Incarnation Catholic Academy,Parochial,School,89-15 FRANCIS LEWIS BLVD,Queens,NY,11427,-73.7579220000,40.7192820000,Yes,Yes,Yes,No,No,No,No
2017-2018,29737,MARY LOUIS ACADEMY,Parochial,School,176-21 WEXFORD TERRACE,Queens,NY,11432,-73.7869150000,40.7129740000,No,No,Yes,No,No,No,No
2016-2017,75498,PORTLEDGE SCHOOL,Nonsectarian,School,355 DUCK POND ROAD,Nassau,NY,11560,-73.5824710000,40.8679850000,No,No,No,No,No,No,No
2017-2018,29738,OUR LADY OF LOURDES CATHOLIC,Parochial,School,92-80 220TH STREET,Queens,NY,11428,-73.7366500000,40.7232970000,No,Yes,Yes,No,Yes,No,No
2017-2018,29743,STS JOACHIM & ANNE SCH,Parochial,School,218-19 105TH AVENUE,Queens,NY,11429,-73.7387720000,40.7120660000,No,Yes,Yes,No,Yes,No,No
2017-2018,29784,TRUE DELIVERANCE CHRISTIAN SCH,Christian,School,188-15 TURIN DRIVE,Queens,NY,11412,-73.7647110000,40.6934910000,No,No,Yes,No,No,No,No
2017-2018,29805,YESHIVA UNIVERSITY HIGH SCH,Yeshiva,School,86-86 PALO ALTO STREET,Queens,NY,11423,-73.7731250000,40.7193430000,Yes,No,Yes,No,No,No,No
2017-2018,29806,LINDEN 7 DAY ADVENTIST SCHOOL,Christian,School,137-01 228TH STREET,Queens,NY,11413,-73.7441180000,40.6732640000,No,Yes,Yes,No,No,No,No
2017-2018,29812,UNITED NATIONS INTL SCHOOL,Nonsectarian,School,173-53 CROYDON ROAD,Queens,NY,11432,-73.7907760000,40.7171880000,No,Yes,Yes,No,No,No,No
2017-2018,29827,P233Q @ P827Q   MAIN SITE,Public,School,109-36 204TH STREET,Queens,NY,11412,-73.7542290000,40.7071800000,Yes,No,Yes,No,Yes,No,No
2017-2018,29844,WELLSPRING ELEMENTARY,Nonsectarian,School,90-26 191ST STREET,Queens,NY,11423,-73.7694130000,40.7132730000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30001,NYC DOE - Translation Unit,Public,Office,45-18 Court Square 2nd Fl.,Queens,NY,11101,-73.9436650000,40.7457800000,No,No,Yes,No,No,No,No
2017-2018,30002,PS 2,Public,School,75-10 21ST AVENUE,Queens,NY,11370,-73.8944650000,40.7702580000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30003,OFFICE OF SCHOOL DESIGN,Public,Office,45-18 COURT SQUARE,Queens,NY,11101,-73.9436650000,40.7457800000,No,No,No,No,No,No,No
2017-2018,30005,Clara Muhammad,Other Religion,School,103-02 Northern Boulevard,Queens,NY,11368,-73.8654970000,40.7575550000,No,No,Yes,No,No,No,No
2017-2018,30007,OFF OF ADULT AND CONT ED-QALC,Public,Office,27-35 JACKSON AVE  3RD FLOOR,Queens,NY,11101,-73.9400460000,40.7479620000,No,No,Yes,No,No,No,No
2017-2018,30008,P277Q @ PS 76,Public,School,36-36 10TH STREET,Queens,NY,11106,-73.9412280000,40.7608940000,Yes,No,No,No,No,No,No
2017-2018,30009,P277Q@ P258Q,Public,School,36-41 28TH STREET,Queens,NY,11106,-73.9325690000,40.7570340000,No,No,No,No,No,No,No
2017-2018,30010,JHS 10,Public,School,45-11 31ST AVENUE,Queens,NY,11103,-73.9128530000,40.7594300000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30011,PS 11,Public,School,54-25 SKILLMAN AVENUE,Queens,NY,11377,-73.9087260000,40.7453360000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30012,COMMUNITY SCHOOL DISTRICT 30,Public,Office,"28-11 QUEENS PLAZA NORTH, RM 518",Queens,NY,11101,-73.9381570000,40.7501470000,No,No,No,No,No,No,No
2017-2018,30013,P255Q@ P397,Public,School,32-52 37TH STREET,Queens,NY,11103,-73.9210270000,40.7593560000,Yes,No,No,No,No,Yes,No
2017-2018,30014,P2G @ William Cullen Bryant HS,Public,School,48-10 31st Avenue,Queens,NY,11103,-73.9105670000,40.7581650000,No,No,Yes,No,No,No,No
2017-2018,30017,PS 17,Public,School,28-37 29TH STREET,Queens,NY,11102,-73.9223390000,40.7689460000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30069,PS 69,Public,School,77-02 37TH AVENUE,Queens,NY,11372,-73.8888110000,40.7491870000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30084,PS 84,Public,School,22-45 41ST STREET,Queens,NY,11105,-73.9062450000,40.7714680000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30085,PS 85,Public,School,23-70 31ST STREET,Queens,NY,11105,-73.9147800000,40.7729160000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30092,PS 92,Public,School,99-01 34TH AVENUE,Queens,NY,11368,-73.8690400000,40.7555390000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30111,PS 111,Public,School,37-15 13TH STREET,Queens,NY,11101,-73.9392870000,40.7587980000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30112,PS 112,Public,School,25-05 37TH AVENUE,Queens,NY,11101,-73.9344650000,40.7569540000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30122,PS 122,Public,School,21-21 DITMARS BLVD,Queens,NY,11105,-73.9165930000,40.7804060000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30126,IS 126,Public,School,31-51 21ST STREET,Queens,NY,11106,-73.9306210000,40.7662240000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30127,PS 127,Public,School,98-01 25 AVENUE,Queens,NY,11369,-73.8716510000,40.7647230000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30141,IS 141,Public,School,37-11 21ST AVENUE,Queens,NY,11105,-73.9050230000,40.7756460000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30145,IS 145,Public,School,33-34 80TH STREET,Queens,NY,11372,-73.8872140000,40.7546560000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30149,PS 149,Public,School,93-11 34TH AVENUE,Queens,NY,11372,-73.8746260000,40.7549550000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30150,PS 150,Public,School,40-01 43RD AVENUE,Queens,NY,11104,-73.9237610000,40.7456130000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30151,PS 151,Public,School,50-05 31ST AVENUE,Queens,NY,11377,-73.9087680000,40.7575280000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30152,PS 152,Public,School,33-52 62ND STREET,Queens,NY,11377,-73.9002240000,40.7530280000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30166,PS 166,Public,School,33-09 35TH AVENUE,Queens,NY,11106,-73.9266850000,40.7573770000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30171,PS 171,Public,School,14-14 29TH AVENUE,Queens,NY,11102,-73.9291390000,40.7712710000,Yes,Yes,Yes,No,No,No,No
2017-2018,30204,JHS 204,Public,School,36-41 28TH STREET,Queens,NY,11106,-73.9325690000,40.7570340000,Yes,Yes,Yes,No,No,No,No
2017-2018,30212,PS 212,Public,School,34-25 82 STREET,Queens,NY,11374,-73.8848070000,40.7530890000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30222,PS 222,Public,School,86-15 37TH AVENUE,Queens,NY,11372,-73.8803750000,40.7502470000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30227,IS 227,Public,School,32-02 JUNCTION BOULEVARD,Queens,NY,11369,-73.8745730000,40.7583930000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30228,PS 228 EARLY CHILDHOOD SCHOOL,Public,School,32-65 93RD STREET,Queens,NY,11369,-73.8751760000,40.7574640000,Yes,No,Yes,No,Yes,No,No
2017-2018,30230,IS 230,Public,School,73-10 34TH AVENUE,Queens,NY,11372,-73.8931720000,40.7527460000,Yes,No,Yes,No,Yes,No,No
2017-2018,30234,PS 234,Public,School,30-15 29TH STREET,Queens,NY,11102,-73.9231570000,40.7672680000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30235,ACAD. FOR NEW AMERICANS IS 235,Public,School,30-14 30TH STREET,Queens,NY,11102,-73.9226750000,40.7668290000,No,Yes,Yes,No,No,No,No
2017-2018,30258,ENERGY TECH HS,Public,School,36-41 28TH STREET,Queens,NY,11106,-73.9325690000,40.7570340000,Yes,No,Yes,No,No,No,No
2017-2018,30280,PS 280,Public,School,34-20 94 STREET,Queens,NY,11372,-73.8738730000,40.7542410000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30289,YOUNG WOMENS LEADERSHIP SCHOOL,Public,School,23-15 NEWTOWN AVENUE,Queens,NY,11105,-73.9245310000,40.7712750000,Yes,Yes,Yes,No,No,No,No
2017-2018,30291,HUNTERS POINT COMM M.S.,Public,School,1-50 51ST AVENUE,Queens,NY,11101,-73.9591960000,40.7429560000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30300,30TH AVE SCH - G&T CITYWIDE,Public,School,28-37 29TH STREET,Queens,NY,11102,-73.9223390000,40.7689460000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30321,GROWING UP GREEN CHARTER SCH,Charter,School,39-37 28TH STREET,Queens,NY,11101,-73.9356130000,40.7533780000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30329,EAST ELMHURST COMM SCHOOL,Public,School,26-25 97TH STREET,Queens,NY,11369,-73.8721430000,40.7615760000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30359,ACAD OF THE CITY CHARTER SCH.,Charter,School,31-29 60TH STREET,Queens,NY,11377,-73.9025770000,40.7569410000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30361,PS 361,Public,School,39-07  57TH STREET,Queens,NY,11377,-73.9063290000,40.7476760000,Yes,No,Yes,No,No,No,No
2017-2018,30408,PS 150 ANNEX,Public,School,41-12 44th STREET,Queens,NY,11104,-73.9200290000,40.7465460000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30409,P811Q @ I227Q,Public,School,32-02 JUNCTION BLVD,Queens,NY,11369,-73.8745730000,40.7583930000,Yes,No,No,No,No,No,No
2017-2018,30410,PS 92 ANNEX,Public,School,26-25 97TH STREET,Queens,NY,11369,-73.8721430000,40.7615760000,No,Yes,No,No,No,No,No
2017-2018,30424,P004Q @ SKILLMAN HS,Public,School,24-30 SKILLMAN AVENUE,Queens,NY,11106,-73.9455670000,40.7422300000,Yes,No,No,No,Yes,Yes,No
2017-2018,30442,P277Q @ PS 78,Public,School,46-08 5TH STREET,Queens,NY,11101,-73.9552470000,40.7470900000,Yes,No,No,No,No,No,No
2017-2018,30443,P277Q @ H404,Public,School,1-50 51ST AVENUE,Queens,NY,11101,-73.9591960000,40.7429560000,Yes,No,Yes,No,Yes,No,No
2017-2018,30444,PS 78 AX,Public,School,46-08 5TH STREET,Queens,NY,11101,-73.9552470000,40.7470900000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30445,GROWING UP GREEN SCHOOL M.S.,Charter,School,36-49 11TH STREET,Queens,NY,11101,-73.9402850000,40.7604090000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30450,ASHS AT LAGUARDIA FAMILY INST.,Public,School,31-10 THOMSON AVE,Queens,NY,11101,-73.9350490000,40.7448270000,No,No,No,No,No,No,No
2017-2018,30451,P811Q @ PS 69,Public,School,77-02 37 AVENUE,Queens,NY,11372,-73.8888110000,40.7491870000,Yes,No,No,No,No,No,No
2017-2018,30456,P255Q @ RENAISSANCE SCHOOL,Public,School,35-59 81 STREET,Queens,NY,11372,-73.8854340000,40.7513340000,Yes,No,Yes,No,No,No,No
2017-2018,30460,P993Q @ L.I.C. HS,Public,School,14-30 BROADWAY,Queens,NY,11106,-73.9334870000,40.7661100000,Yes,No,Yes,No,Yes,No,No
2017-2018,30461,P255Q @ P151Q,Public,School,50-05 31ST AVENUE,Queens,NY,11377,-73.9087680000,40.7575280000,Yes,No,No,No,Yes,No,No
2017-2018,30464,P811Q @ P222Q,Public,School,86-15 37TH AVENUE,Queens,NY,11372,-73.8803750000,40.7502470000,Yes,No,No,No,No,No,No
2017-2018,30469,P721Q @ INFORMATION TECH HS,Public,School,21-16 44TH ROAD,Queens,NY,11101,-73.9464150000,40.7486300000,Yes,No,Yes,No,Yes,Yes,No
2017-2018,30470,ACADEMY OF AMERICAN STUDIES,Public,School,28-01 41 AVENUE,Queens,NY,11101,-73.9373840000,40.7514190000,Yes,No,Yes,No,No,No,No
2017-2018,30476,P2G @ LAGUARDIA COMMUNITY CLG,Public,School,29-10 THOMSON AVENUE,Queens,NY,11101,-73.9376220000,40.7451420000,No,No,Yes,No,No,No,No
2017-2018,30490,PS112 AX FAMLY COLL AT LAGUARD,Public,School,31-10 THOMSON AVE,Queens,NY,11101,-73.9350490000,40.7448270000,No,No,No,No,No,No,No
2017-2018,30500,NEWCOMERS HIGH SCHOOL,Public,School,28-01 41 AVE,Queens,NY,11101,-73.9373840000,40.7514190000,No,No,Yes,No,No,No,No
2017-2018,30502,Information Technology H. S.,Public,School,21-16 44th Road,Queens,NY,11101,-73.9464150000,40.7486300000,Yes,No,Yes,No,No,No,No
2017-2018,30511,ACAD FOR CAREERS - TELE & FIlM,Public,School,1-50 51st Avenue,Queens,NY,11101,-73.9591960000,40.7429560000,Yes,No,Yes,No,No,No,No
2017-2018,30512,VOICE CHARTER SCHOOL OF NY,Charter,School,37-15 13 STREET,Queens,NY,11101,-73.9392870000,40.7587980000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30523,LONG ISLAND CITY HS,Public,School,14-30 BROADWAY,Queens,NY,11106,-73.9334870000,40.7661100000,Yes,No,Yes,No,No,No,No
2017-2018,30533,WM C BRYANT HS,Public,School,48-10 31ST AVENUE,Queens,NY,11103,-73.9105670000,40.7581650000,Yes,Yes,Yes,No,No,No,No
2017-2018,30539,FRANK SINATRA SCH OF THE ARTS,Public,School,35-12 35TH AVENUE,Queens,NY,11106,-73.9251770000,40.7564710000,Yes,No,Yes,No,No,No,No
2017-2018,30540,BACCALAUREATE SCH.GLOBAL COMM.,Public,School,34-12 36TH AVENUE,Queens,NY,11106,-73.9272280000,40.7553020000,Yes,No,Yes,No,No,No,No
2017-2018,30541,P993Q@H501Q,Public,School,35-12 35TH AVENUE,Queens,NY,11106,-73.9251770000,40.7564710000,Yes,No,Yes,No,Yes,No,No
2016-2017,31041,PS 41,Public,School,216 CLAWSON STREET,Staten Island,NY,10306,-74.1091940000,40.5740060000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30545,QUEENS H.S. SUPT. CSE,Public,Office,58-12 QUEENS BLVD,Queens,NY,11377,-73.9073450000,40.7415560000,No,No,No,No,No,No,No
2017-2018,30553,RESTART @ ADOL.SKILLS CTR II,Public,School,29-46 NORTHERN BLVD,Queens,NY,11101,-73.9357800000,40.7498890000,No,No,Yes,No,No,No,No
2017-2018,30565,THE LEARNING TREE,Nonsectarian,School,103-02  NORTHERN BLVD.,Queens,NY,11368,-73.8654970000,40.7575550000,No,No,Yes,No,Yes,No,No
2017-2018,30573,RESTART @  L.I.C. HS,Public,School,14-30 BROADWAY,Queens,NY,11106,-73.9334870000,40.7661100000,No,No,No,No,No,No,No
2017-2018,30577,VOICE CHARTER SCH NY UPPER,Charter,School,36-24 12TH STREET,Queens,NY,11106,-73.9395170000,40.7604130000,No,Yes,Yes,No,Yes,No,No
2017-2018,30605,ST CATHERINE & ST GEORGE,Christian,School,22-30 33RD STREET,Queens,NY,11105,-73.9104430000,40.7748130000,No,Yes,Yes,No,Yes,No,No
2017-2018,30636,LAGUARDIA FAMILY CTR  STH,Public,Office,102-10 DITMARS BLVD,Queens,NY,11369,-73.8684060000,40.7686680000,No,No,No,No,No,No,No
2017-2018,30647,CSE 4,Public,Office,28-11 QUEENS PLAZA NORTH  5TH FLOOR,Queens,NY,11101,-73.9381570000,40.7501470000,No,No,No,No,No,No,No
2017-2018,30666,FAMILY WELCOME CENTER,Public,Office,28-11 QUEENS PLAZA NORTH,Queens,NY,11101,-73.9381570000,40.7501470000,No,No,No,No,No,No,No
2017-2018,30667,OFF OF PURCHASING MGNT,Public,Office,44-36 VERNON BLVD  ROOM 1201,Queens,NY,11101,-73.9523370000,40.7493870000,No,No,No,No,No,No,No
2017-2018,30685,ELBER ISLAMIC SCHOOL,Other Religion,School,25-40 49TH STREET,Queens,NY,11103,-73.9054790000,40.7635570000,No,Yes,Yes,No,Yes,No,No
2017-2018,30688,OTC-IMPARTIAL,Public,Office,44-36 VERNON BLVD,Queens,NY,11101,-73.9523370000,40.7493870000,No,No,No,No,No,No,No
2017-2018,30700,ST DEMETRIOS MIDDLE SCHOOL,Christian,School,30-03 30TH DRIVE,Queens,NY,11102,-73.9233530000,40.7656160000,No,Yes,Yes,No,Yes,No,No
2017-2018,30710,EVANGEL CHRISTIAN SCHOOL,Christian,School,39-21 CRESCENT STREET,Queens,NY,11101,-73.9370230000,40.7543360000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30724,ST DEMETRIOS HIGH SCHOOL,Christian,School,30-03 30TH DRIVE,Queens,NY,11102,-73.9233530000,40.7656160000,No,No,Yes,No,Yes,No,No
2017-2018,30734,IMMACULATE CONCEPTION SCH,Parochial,School,21-63 29TH STREET,Queens,NY,11105,-73.9107730000,40.7774610000,No,No,Yes,No,Yes,No,No
2017-2018,30735,ST JOHN'S PREP SCHOOL,Parochial,School,21-21 CRESCENT STREET,Queens,NY,11105,-73.9128350000,40.7799690000,No,No,Yes,No,No,No,No
2017-2018,30736,MSGR MCCLANCY HS,Parochial,School,71-06 31ST AVENUE,Queens,NY,11370,-73.8960730000,40.7580920000,No,No,Yes,No,No,No,No
2017-2018,30738,ST FRANCIS ASSISI SCHOOL,Parochial,School,21-18 46TH STREET,Queens,NY,11105,-73.9008480000,40.7717780000,No,No,Yes,No,Yes,No,No
2017-2018,30740,ST JOAN OF ARC SCHOOL,Parochial,School,35-27 82 STREET,Queens,NY,11372,-73.8845130000,40.7514720000,Yes,No,Yes,No,Yes,No,No
2017-2018,30748,GARDEN SCHOOL,Nonsectarian,School,33-16 79TH STREET,Queens,NY,11372,-73.8881840000,40.7547870000,No,No,Yes,No,Yes,No,No
2017-2018,30751,OUR LADY OF FATIMA SCH,Parochial,School,25-38 80TH STREET,Queens,NY,11370,-73.8886520000,40.7625720000,No,Yes,Yes,No,Yes,No,No
2017-2018,30753,QUEENS LUTHERAN SCHOOL,Christian,School,31-20 21  AVENUE,Queens,NY,11105,-73.9078940000,40.7774410000,No,Yes,Yes,No,Yes,No,No
2017-2018,30768,Our World Ngbd Charter School,Charter,School,36-12 35th avenue,Queens,NY,11106,-73.9243790000,40.7560970000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30769,OUR WORLD NEIGHBORHOOD CHARTER,Charter,School,31-20 37TH STREET,Queens,NY,11103,-73.9193350000,40.7614360000,No,Yes,Yes,No,No,No,No
2016-2017,75734,EASTVIEW MS-SW BOCES PROGRAM,Non-NYC Public,School,350 MAIN STREET,Westchester,NY,10601,-73.7601350000,41.0358670000,No,No,No,No,No,No,No
2017-2018,30778,ST JOSEPH'S SCHOOL,Parochial,School,28-46 44TH STREET,Queens,NY,11103,-73.9115040000,40.7629130000,No,Yes,Yes,No,Yes,No,No
2015-2016,32145,PS 145,Public,School,100 NOLL STREET,Brooklyn,NY,11206,-73.9323260000,40.7015530000,Yes,Yes,Yes,No,Yes,No,No
2017-2018,30787,ST SEBASTIAN SCHOOL,Parochial,School,39-76 58TH STREET,Queens,NY,11377,-73.9061920000,40.7463640000,No,Yes,Yes,No,Yes,No,No
2017-2018,30800,MANHATTAN OPERATIONS-OPT,Public,Office,44-36 VERNON BLVD 6TH FL,Queens,NY,11101,-73.9523370000,40.7493870000,No,No,Yes,No,No,No,No
2017-2018,30801,BRONX OPERATIONS-OPT,Public,Office,44-36 VERNON BLVD 6TH FLOOR,Queens,NY,11101,-73.9523370000,40.7493870000,No,No,No,No,No,No,No
2017-2018,30802,GREATER NY ACAD OF 7TH DAY ADV,Christian,School,41-32 58TH STREET,Queens,NY,11377,-73.9070810000,40.7439970000,No,No,Yes,No,No,No,No
